time(second),IR,RED
16.14,8763,11048
16.16,8680,10990
16.18,8783,11059
16.2,8750,11021
16.22,8742,10965
16.24,8703,11025
16.26,8727,11008
16.28,8776,11002
16.3,8748,11012
16.32,8721,11063
16.34,8747,10958
16.36,8792,11002
16.38,8759,11042
16.4,8692,11006
16.42,8782,11032
16.44,8776,11004
16.46,8790,11000
16.48,8743,11095
16.5,8734,11074
16.52,8711,11077
16.54,8738,11127
16.56,8749,11034
16.58,8801,11049
16.6,8743,10979
16.62,8737,11033
16.64,8697,11064
16.66,8767,11049
16.68,8746,11047
16.7,8729,10975
16.72,8773,11047
16.74,8745,11012
16.76,8733,10997
16.78,8756,10927
16.8,8764,11075
16.82,8706,11024
16.84,8706,10988
16.86,8770,11001
16.88,8717,11033
16.9,8734,11056
16.92,8722,11044
16.94,8724,11054
16.96,8681,11016
16.98,8754,10988
17,8761,11004
17.02,8744,11098
17.04,8742,10989
17.06,8752,11005
17.08,8712,11027
17.1,8714,11009
17.12,8761,10984
17.14,8764,10966
17.16,8732,11084
17.18,8729,10994
17.2,8761,11009
17.22,8761,11026
17.24,8764,11062
17.26,8719,11071
17.28,8765,11028
17.3,8719,11072
17.32,8728,11030
17.34,8771,11016
17.36,8725,11021
17.38,8688,10975
17.4,8719,11054
17.42,8714,10982
17.44,8763,10951
17.46,8725,11044
17.48,8703,11005
17.5,8763,11032
17.52,8764,11042
17.54,8689,11061
17.56,8713,11017
17.58,8754,11002
17.6,8758,11124
17.62,8717,11046
17.64,8701,10987
17.66,8770,11047
17.68,8733,11071
17.7,8691,11031
17.72,8751,10991
17.74,8720,11056
17.76,8677,11030
17.78,8729,11014
17.8,8764,11047
17.82,8750,11036
17.84,8749,11006
17.86,8745,11104
17.88,8704,11041
17.9,8768,11005
17.92,8739,11078
17.94,8715,11051
17.96,8729,11040
17.98,8709,11087
18,8724,11004
18.02,8736,11039
18.04,8737,11009
18.06,8677,11060
18.08,8711,11018
18.1,8694,11078
18.12,8696,11061
18.14,8687,11036
18.16,8702,10968
18.18,8745,11046
18.2,8708,11058
18.22,8686,11066
18.24,8706,10992
18.26,8710,11012
18.28,8733,11061
18.3,8744,11064
18.32,8685,11063
18.34,8693,10992
18.36,8722,10934
18.38,8731,11058
18.4,8677,11008
18.42,8653,10995
18.44,8729,11049
18.46,8696,11072
18.48,8661,11019
18.5,8732,11018
18.52,8731,11042
18.54,8655,11025
18.56,8689,118579
18.58,8555,10601
18.6,8569,10585
18.62,8547,10568
18.64,8559,10642
18.66,8581,10593
18.68,8581,10553
18.7,8603,10623
18.72,8544,10608
18.74,8633,10634
18.76,8613,10631
18.78,8609,10705
18.8,8626,10801
18.82,8646,10846
18.84,8736,10898
18.86,8710,10915
18.88,8761,11063
18.9,8750,11055
18.92,8784,10981
18.94,8827,11065
18.96,8804,11117
18.98,8827,11077
19,8757,11069
19.02,8774,11027
19.04,8800,11043
19.06,8711,10971
19.08,8741,10979
19.1,8753,10983
19.12,8850,10946
19.14,8752,10939
19.16,8757,10964
19.18,8737,10949
19.2,8798,10948
19.22,8756,10986
19.24,8798,10905
19.26,8771,10982
19.28,8757,10870
19.3,8774,10947
19.32,8716,10994
19.34,8715,10971
19.36,8783,11042
19.38,8744,11013
19.4,8766,10976
19.42,8786,11002
19.44,8749,11017
19.46,8803,11015
19.48,8756,11038
19.5,8768,10994
19.52,8772,11013
19.54,8752,11063
19.56,8759,10966
19.58,8741,10958
19.6,8721,10972
19.62,8751,10914
19.64,8556,10582
19.66,8470,10600
19.68,8563,10849
19.7,8722,10911
19.72,8780,10935
19.74,8742,10994
19.76,8753,11011
19.78,8803,10980
19.8,8763,10993
19.82,8754,10990
19.84,8770,10929
19.86,8803,11002
19.88,8750,10947
19.9,8800,10993
19.92,8829,11019
19.94,8760,11093
19.96,8752,11051
19.98,8783,11021
20,8827,11006
20.02,8793,11097
20.04,8804,11071
20.06,8758,11009
20.08,8808,11046
20.1,8788,11050
20.12,8746,11024
20.14,8806,11022
20.16,8809,10985
20.18,8790,11079
20.2,8770,11098
20.22,8746,11033
20.24,8750,10997
20.26,8786,11116
20.28,8770,11020
20.3,8755,11028
20.32,8801,11018
20.34,8736,10988
20.36,8748,10952
20.38,8796,10937
20.4,8754,11046
20.42,8745,10981
20.44,8749,11006
20.46,8761,11023
20.48,8801,10976
20.5,8710,10992
20.52,8754,11010
20.54,8798,10988
20.56,8772,11011
20.58,8764,11098
20.6,8813,11047
20.62,8763,11072
20.64,8821,11048
20.66,8732,11014
20.68,8770,10984
20.7,8751,11063
20.72,8761,11003
20.74,8794,11039
20.76,8749,10999
20.78,8801,11044
20.8,8783,11009
20.82,8807,10990
20.84,8748,11015
20.86,8795,11053
20.88,8766,11038
20.9,8762,11020
20.92,8747,11055
20.94,8768,10990
20.96,8787,11032
20.98,8696,10989
21,8777,10976
21.02,8749,11079
21.04,8755,10959
21.06,8745,11045
21.08,8749,11034
21.1,8782,10959
21.12,8815,11043
21.14,8776,11079
21.16,8803,11045
21.18,8730,11003
21.2,8703,11013
21.22,8757,11097
21.24,8745,11023
21.26,8780,10983
21.28,8759,11028
21.3,8729,10968
21.32,8741,10981
21.34,8775,11060
21.36,8744,10964
21.38,8775,11024
21.4,8730,11004
21.42,8763,11048
21.44,8680,10990
21.46,8783,11059
21.48,8750,11021
21.5,8742,10965
21.52,8703,11025
21.54,8727,11008
21.56,8776,11002
21.58,8748,11012
21.6,8721,11063
21.62,8747,10958
21.64,8792,11002
21.66,8759,11042
21.68,8692,11006
21.7,8782,11032
21.72,8776,11004
21.74,8790,11000
21.76,8743,11095
21.78,8734,11074
21.8,8711,11077
21.82,8738,11127
21.84,8749,11034
21.86,8801,11049
21.88,8743,10979
21.9,8737,11033
21.92,8697,11064
21.94,8767,11049
21.96,8746,11047
21.98,8729,10975
22,8773,11047
22.02,8745,11012
22.04,8733,10997
22.06,8756,10927
22.08,8764,11075
