X,Y,Z,IR,RED,HeartRate,RespirationRate,SPO2,Activity,HR Mean,RR Mean,SPO2 Mean
-0.21,-0.43,1.21,8646,10846,90.90909091,19.10828025,94.78563293,4,,,
-0.2,-0.5,1.24,8736,10898,230.7692308,23.07692308,99.3710114,4,,,
-0.2,-0.44,1.2,8710,10915,90.90909091,,99.94118133,4,,,
0,-0.73,1.3,8761,11063,115.3846154,,95.01695965,4,,,
0.01,-0.52,1.19,8750,11055,166.6666667,,97.47363071,4,,,
0.03,-0.51,1.05,8784,10981,157.8947368,,96.35793251,4,,,
0.04,-0.32,0.77,8827,11065,103.4482759,,99.25318062,4,,,
-0.08,-0.39,0.93,8804,11117,76.92307692,,99.65126652,4,,,
0.2,-0.6,1.01,8827,11077,90.90909091,,94.70256788,4,,,
0.2,-0.25,0.85,8757,11069,111.1111111,,97.47461972,4,,,
0.11,-0.17,0.6,8774,11027,142.8571429,,96.35793426,4,,,
-0.19,-0.08,0.44,8800,11043,66.66666667,,99.25318067,4,,,
-0.21,-0.15,0.44,8711,10971,88.23529412,,99.65126654,4,,,
-0.22,-0.22,0.57,8741,10979,125,,94.70256789,4,,,
-0.26,-0.39,1.02,8753,10983,142.8571429,,97.47461972,4,,,
-0.15,-0.61,1.27,8850,10946,176.4705882,,97.2473263,4,,,
-0.16,-0.45,1.26,8752,10939,100,,83.80992026,4,,,
-0.19,-0.43,1.26,8757,10964,76.92307692,,90.33145262,4,,,
-0.17,-0.26,1.17,8737,10949,90.90909091,,90.832203,4,,,
-0.29,-0.36,1.55,8798,10948,111.1111111,,99.72224673,4,,,
0.09,-0.17,1.31,8756,10986,142.8571429,,99.88127451,4,,,
0.11,-0.16,1.08,8798,10905,66.66666667,,82.66845191,4,,,
0.08,0.08,0.95,8771,10982,88.23529412,,90.07590357,4,,,
0.19,-0.11,0.98,8757,10870,125,,90.83005862,4,,,
0.2,-0.31,0.86,8774,10947,142.8571429,,99.72184884,4,,,
-0.05,-0.26,0.66,8716,10994,176.4705882,,99.88119006,4,,,
-0.15,-0.16,0.57,8715,10971,100,,90.84619493,4,,,
-0.2,-0.14,0.64,8783,11042,107.1428571,,87.31719767,4,,,
-0.22,-0.19,0.56,8744,11013,107.1428571,,99.94722213,4,,,
-0.24,-0.21,0.71,8766,10976,90.90909091,,99.77451028,4,,,
-0.21,-0.37,0.95,8786,11002,73.17073171,,99.89148494,4,,,
-0.22,-0.49,0.99,8749,11017,115.3846154,,90.6621685,4,,,
-0.2,-0.54,1.24,8803,11015,90.90909091,,87.31447778,4,,,
-0.17,-0.51,1.42,8756,11038,83.33333333,,99.94721631,4,,,
-0.19,-0.32,1.27,8768,10994,130.4347826,,99.77451028,4,,,
-0.3,-0.66,1.23,8772,11013,103.4482759,,99.89148494,4,,,
-0.09,-0.55,1.14,8752,11063,103.4482759,,90.66216847,4,,,
0.03,-0.6,1.01,8759,10966,130.4347826,,87.31447776,4,,,
-0.05,-0.46,0.69,8741,10958,111.1111111,,93.10950005,4,,,
0.13,-0.46,0.84,8721,10972,88.23529412,,92.96028451,4,,,
0.04,-0.22,0.88,8751,10914,52.63157895,,84.44539124,4,,,
0.04,-0.14,0.84,8556,10582,96.77419355,,88.49508165,4,,,
