X,Y,Z,R,IR,HR,RR,SPO2,Activity,HR Mean,RR Mean,SPO2 Mean
0.75,0.4,0.56,10166,11608,53.57142857,,99.91440211,3,,,
0.75,0.45,0.52,10290,11672,81.08108108,,99.8544189,3,,,
0.77,0.47,0.55,10236,11608,93.75,,98.38328832,3,,,
0.73,0.44,0.57,10004,11485,68.18181818,,99.83065425,3,,,
0.74,0.46,0.56,10136,11554,83.33333333,,93.24331611,3,,,
0.75,0.46,0.56,10173,11588,120,,96.31200548,3,,,
0.74,0.45,0.55,10197,11596,88.23529412,,99.68900797,3,,,
0.71,0.45,0.56,10162,11481,61.2244898,,84.2772122,3,,,
0.75,0.46,0.55,10094,11542,83.33333333,,90.79673438,3,,,
0.75,0.46,0.57,10156,11596,81.08108108,,91.77860896,3,,,
0.71,0.44,0.57,10200,11714,69.76744186,,92.70955399,3,,,
0.73,0.39,0.59,10242,11629,57.69230769,,98.15214897,3,,,
0.73,0.43,0.54,10171,11590,83.33333333,,98.51143044,3,,,
0.68,0.44,0.57,10036,11490,107.1428571,,95.18163979,3,,,
0.73,0.45,0.61,10135,11588,111.1111111,,83.75185775,3,,,
0.71,0.41,0.61,10155,11595,90.90909091,,98.80104527,3,,,
0.71,0.44,0.54,10196,11599,88.23529412,,99.51001451,3,,,
0.73,0.46,0.56,10189,11440,100,,99.6332671,3,,,
0.74,0.41,0.54,10037,11541,157.8947368,,99.18005616,3,,,
0.74,0.43,0.54,10147,11568,76.92307692,,99.37066025,3,,,
0.74,0.41,0.59,10162,11633,81.08108108,,94.845,3,,,
0.76,0.41,0.59,10121,11582,62.5,,99.18918479,3,,,
0.73,0.44,0.59,10056,11454,83.33333333,,99.92535253,3,,,
0.74,0.41,0.62,10113,11551,107.1428571,,97.38868583,3,,,
0.79,0.44,0.61,10168,11583,130.4347826,,99.79508218,3,,,
0.75,0.37,0.62,10285,11671,83.33333333,,99.52590369,3,,,
0.71,0.41,0.62,10175,11534,63.82978723,,99.94556202,3,,,
0.75,0.41,0.61,10161,11454,90.90909091,,99.93721092,3,,,
0.74,0.43,0.61,10041,11542,66.66666667,,85.48051157,3,,,
0.76,0.39,0.62,10140,11563,73.17073171,,98.76561198,3,,,
0.75,0.39,0.55,10166,11597,78.94736842,,99.48699737,3,,,
0.74,0.4,0.55,10177,11570,75,,99.55874967,3,,,
0.73,0.36,0.52,10021,11495,69.76744186,,95.7669067,3,,,
0.74,0.4,0.54,10142,11554,66.66666667,,92.12232253,3,,,
0.73,0.39,0.56,10153,11606,88.23529412,,97.78582282,3,,,
0.74,0.41,0.56,10262,11653,61.2244898,,99.16086686,3,,,
0.75,0.4,0.54,10139,11456,68.18181818,,99.94256221,3,,,
0.77,0.37,0.56,10102,11556,83.33333333,,97.38760272,3,,,
0.74,0.39,0.6,10169,11576,90.90909091,,98.33157608,3,,,
0.74,0.4,0.61,10155,11687,63.82978723,,88.17517991,3,,,
0.74,0.39,0.6,10207,11553,78.94736842,,97.41924944,3,,,
0.74,0.41,0.56,10092,11556,96.77419355,,99.91215089,3,,,
0.75,0.4,0.57,10004,11458,136.3636364,,99.26604525,3,,,
0.71,0.36,0.62,10113,11538,75,,94.63059193,3,,,
0.75,0.39,0.64,10142,11529,90.90909091,,99.69503472,3,,,
0.74,0.4,0.62,10249,11618,96.77419355,,91.58736425,3,,,
0.74,0.41,0.62,10013,11433,81.08108108,,97.38682503,3,,,
0.75,0.43,0.68,10094,11550,50.84745763,,93.51125343,3,,,
0.71,0.39,0.62,10130,11536,47.61904762,,87.1278276,3,,,
0.75,0.37,0.59,10244,11654,45.45454545,,99.09178954,3,,,
0.7,0.37,0.56,10176,11513,42.85714286,,84.37354826,3,,,
0.71,0.37,0.57,10095,11422,44.11764706,,96.00398554,3,,,
0.73,0.37,0.62,10096,11510,58.82352941,,99.76895617,3,,,
0.74,0.36,0.6,10129,11543,103.4482759,,98.39400258,3,,,
0.74,0.39,0.59,10211,11635,57.69230769,,98.38869445,3,,,
0.73,0.4,0.6,10204,11484,73.17073171,,95.74421221,3,,,
0.71,0.43,0.61,10010,11499,66.66666667,,91.92134528,3,,,
0.74,0.43,0.61,10120,11536,78.94736842,,98.95847949,3,,,
0.75,0.43,0.62,10149,11579,130.4347826,,98.71882264,3,,,
0.71,0.37,0.61,10263,11614,120,,98.86733751,3,,,
0.7,0.39,0.61,10153,11538,83.33333333,,96.97667655,3,,,
0.74,0.35,0.54,10132,11400,69.76744186,,97.69877213,3,,,
0.73,0.37,0.56,10194,11680,54.54545455,,99.67456119,3,,,
0.71,0.37,0.56,10232,11548,85.71428571,,80.42220239,3,,,
0.74,0.39,0.57,10140,11567,63.82978723,,97.2072243,3,,,
0.71,0.39,0.56,10032,11476,85.71428571,,99.51070391,3,,,
0.77,0.34,0.56,10130,11585,76.92307692,,98.67049929,3,,,
0.75,0.35,0.55,10154,11553,69.76744186,,90.44849116,3,,,
0.75,0.39,0.56,10282,11675,62.5,,96.42605371,3,,,
0.71,0.39,0.55,10148,11420,73.17073171,,98.97113041,3,,,
0.75,0.41,0.66,10052,11519,90.90909091,,80.65782785,3,,,
0.74,0.36,0.59,10128,11559,76.92307692,,96.50113492,3,,,
0.75,0.36,0.59,10149,11701,61.2244898,,95.10945486,3,,,
0.73,0.39,0.6,10194,11527,83.33333333,,86.53561124,3,,,
0.71,0.4,0.65,9991,11416,78.94736842,,86.61365921,3,,,
0.76,0.37,0.6,10086,11505,71.42857143,,93.74541677,3,,,
0.77,0.39,0.57,10142,11518,76.92307692,,99.71116242,3,,,
0.76,0.39,0.57,10231,11615,83.33333333,,98.59030248,3,,,
0.75,0.43,0.6,10129,11543,81.08108108,,93.72054633,3,,,
0.71,0.39,0.57,10141,11340,57.69230769,,88.52127729,3,,,
0.75,0.41,0.61,10033,11496,83.33333333,,99.94565602,3,,,
0.75,0.41,0.66,10123,11521,76.92307692,,99.05675581,3,,,
0.75,0.39,0.59,10139,11495,65.2173913,,98.13255951,3,,,
0.76,0.37,0.61,10076,11516,68.18181818,,94.80717899,3,,,
