~Time(seconds),R,IR
9.54,10025,11262
9.56,9921,11226
9.58,9991,11274
9.6,9989,11265
9.62,10146,11131
9.64,9968,11234
9.66,9995,11219
9.68,10147,11356
9.7,9947,11216
9.72,9977,11117
9.74,9949,11169
9.76,9954,11120
9.78,9953,10972
9.8,9833,11107
9.82,9931,11108
9.84,9897,11019
9.86,9947,11160
9.88,10082,11304
9.9,10008,11251
9.92,10001,11150
9.94,9946,11294
9.96,10069,11361
9.98,10106,11441
10,9998,11371
10.02,10112,11417
10.04,10102,11426
10.06,10178,11356
10.08,10083,11407
10.1,10150,11566
10.12,10155,11371
10.14,10087,11429
10.16,10103,11431
10.18,10192,11528
10.2,10097,11415
10.22,10072,11279
10.24,10022,11384
10.26,10083,11433
10.28,10052,11280
10.3,10049,11366
10.32,10095,11384
10.34,10083,11507
10.36,10182,11370
10.38,10076,11460
10.4,10194,11485
10.42,10119,11389
10.44,9949,11245
10.46,10054,11488
10.48,10043,11377
10.5,10088,11231
10.52,9978,11340
10.54,10060,11414
10.56,10105,11519
10.58,9998,11423
10.6,10098,11463
10.62,10115,11496
10.64,10237,11560
10.66,10151,11469
10.68,10123,11471
10.7,10187,11527
10.72,9973,11287
10.74,10090,11427
10.76,10105,11439
10.78,10151,11450
10.8,10019,11422
10.82,10104,11428
10.84,10095,11454
10.86,10204,11505
10.88,10027,11409
10.9,10093,11438
10.92,10231,11540
10.94,10096,11432
10.96,10111,11367
10.98,10087,11299
11,10090,11386
11.02,10091,11365
11.04,10185,11404
11.06,9928,11236
11.08,10062,11311
11.1,10091,11361
11.12,10067,11531
11.14,10166,11291
11.16,9996,11350
11.18,10103,11387
11.2,10107,11393
11.22,10229,11490
11.24,10065,11378
11.26,10102,11235
11.28,10010,11534
11.3,10148,11386
11.32,10092,11415
11.34,10056,11273
11.36,10077,11401
11.38,10096,11456
11.4,9940,11268
11.42,10054,11332
11.44,10061,11320
11.46,10094,11432
11.48,10134,11279
11.5,10075,11322
11.52,9976,11189
11.54,9974,11298
11.56,10054,11269
11.58,10004,11248
11.6,10094,11289
11.62,9976,11195
11.64,9982,11157
11.66,9903,11135
11.68,9994,11246
11.7,10012,11441
11.72,10118,11307
11.74,10109,11357
11.76,10152,11503
11.78,10179,11576
11.8,10280,11637
11.82,10263,11655
11.84,10103,11555
11.86,10240,11740
11.88,10381,11671
11.9,10250,11633
11.92,10111,11525
11.94,10153,11571
11.96,10194,11565
11.98,10205,11667
12,10144,11495
12.02,10242,11515
12.04,10050,11398
12.06,10167,11504
12.08,10183,11625
12.1,10153,11459
12.12,10208,11384
12.14,10177,11516
12.16,10197,11569
12.18,10336,11602
12.2,10205,11530
12.22,10086,11506
12.24,10194,11508
12.26,10229,11605
12.28,10299,11503
12.3,10235,11512
12.32,10109,11536
12.34,10337,11638
12.36,10206,11543
12.38,10248,11457
12.4,10107,11520
12.42,10228,11497
12.44,10212,11657
12.46,10280,11484
12.48,10165,11474
12.5,10038,11357
12.52,10145,11461
12.54,10178,11489
12.56,10307,11554
12.58,10252,11488
12.6,10136,11516
12.62,10053,11324
12.64,10270,11514
12.66,10142,11404
12.68,10148,11282
12.7,10049,11414
12.72,10269,11493
12.74,10126,11376
12.76,10045,11356
12.78,10111,11370
12.8,10090,11441
12.82,10206,11430
12.84,10059,11509
12.86,10116,11412
12.88,10104,11421
12.9,9964,11470
12.92,10131,11387
12.94,10085,11358
12.96,10088,11504
12.98,10173,11335
13,9965,11289
13.02,10053,11344
13.04,10080,11399
13.06,10091,11352
13.08,9904,11223
13.1,10047,11306
13.12,10077,11340
13.14,9951,11360
13.16,10189,11448
13.18,10108,11344
13.2,10056,11237
13.22,10023,11367
13.24,10264,11512
13.26,10084,11413
13.28,10126,11317
13.3,10018,11336
13.32,10091,11395
13.34,10095,11394
13.36,10221,11508
13.38,10113,11314
13.4,10096,11418
13.42,10144,11425
13.44,10318,11564
13.46,10155,11434
13.48,10142,11347
13.5,10026,11333
13.52,10131,11400
13.54,10145,11382
13.56,10107,11406
13.58,10142,11402
13.6,10098,11410
13.62,10149,11460
13.64,10061,11292
13.66,10020,11403
13.68,10134,11420
13.7,10155,11511
13.72,10240,11410
13.74,10163,11447
13.76,10131,11523
13.78,10246,11433
13.8,10154,11408
13.82,10024,11340
13.84,10118,11374
13.86,10108,11396
13.88,10106,11356
