0.70,0.37,0.56
0.71,0.37,0.57
0.73,0.37,0.62
0.74,0.36,0.60
0.74,0.39,0.59
0.73,0.40,0.60
0.71,0.43,0.61
0.74,0.43,0.61
0.75,0.43,0.62
0.71,0.37,0.61
0.70,0.39,0.61
0.74,0.35,0.54
0.73,0.37,0.56
0.71,0.37,0.56
0.74,0.39,0.57
0.71,0.39,0.56
0.77,0.34,0.56
0.75,0.35,0.55
0.75,0.39,0.56
0.71,0.39,0.55
0.75,0.41,0.66
0.74,0.36,0.59
0.75,0.36,0.59
0.73,0.39,0.60
0.71,0.40,0.65
0.76,0.37,0.60
0.77,0.39,0.57
0.76,0.39,0.57
0.75,0.43,0.60
0.71,0.39,0.57
0.75,0.41,0.61
0.75,0.41,0.66
0.75,0.39,0.59
0.76,0.37,0.61
0.75,0.35,0.57
0.74,0.39,0.55
0.71,0.39,0.57
0.75,0.37,0.60
0.74,0.39,0.56
0.73,0.37,0.55
0.71,0.37,0.60
0.77,0.34,0.59
0.75,0.36,0.57
0.76,0.36,0.56
0.74,0.41,0.55
0.75,0.37,0.60
0.76,0.37,0.57
0.75,0.40,0.56
0.73,0.37,0.61
0.70,0.37,0.62
0.71,0.35,0.62
0.74,0.35,0.61
0.74,0.39,0.60
0.77,0.39,0.64
0.79,0.39,0.59
0.75,0.37,0.61
0.73,0.40,0.61
0.75,0.39,0.59
0.77,0.40,0.60
0.76,0.39,0.59
0.71,0.40,0.57
0.75,0.39,0.60
0.73,0.39,0.65
0.71,0.43,0.65
0.75,0.41,0.62
0.73,0.40,0.57
0.76,0.37,0.62
0.70,0.39,0.59
0.73,0.39,0.57
0.73,0.39,0.55
0.77,0.37,0.56
0.77,0.36,0.59
0.76,0.39,0.60
0.73,0.40,0.61
0.73,0.37,0.62
0.74,0.39,0.57
0.74,0.39,0.56
0.73,0.40,0.59
0.73,0.37,0.57
0.73,0.36,0.61
0.75,0.35,0.62
0.73,0.37,0.59
0.66,0.37,0.60
0.76,0.37,0.62
0.76,0.36,0.62
0.73,0.39,0.62
0.74,0.39,0.59
0.73,0.36,0.66
0.73,0.39,0.61
0.71,0.36,0.62
0.74,0.39,0.64
0.74,0.40,0.60
0.74,0.36,0.64
0.70,0.36,0.61
0.74,0.37,0.59
0.73,0.37,0.60
0.74,0.35,0.54
0.73,0.36,0.60
0.73,0.39,0.55
0.69,0.39,0.59
0.76,0.39,0.57
0.74,0.39,0.61
0.76,0.41,0.66
0.75,0.40,0.61
0.75,0.35,0.64
0.74,0.37,0.61
0.74,0.41,0.61
0.77,0.39,0.62
0.77,0.39,0.60
0.74,0.37,0.62
0.76,0.36,0.60
0.79,0.39,0.61
0.75,0.37,0.61
0.73,0.39,0.56
0.73,0.39,0.52
0.73,0.39,0.55
0.71,0.37,0.59
0.75,0.40,0.60
0.71,0.39,0.60
0.76,0.37,0.60
0.77,0.36,0.59
0.73,0.39,0.60
0.74,0.39,0.57
0.73,0.43,0.59
0.71,0.39,0.57
0.75,0.37,0.57
0.76,0.39,0.59
