X,Y,Z,IR,RED,HeartRate,RespirationRate,SPO2,Activity,Mean HR,Mean RR,Mean SPO2
-0.12,0.11,0.99,95855,138436,17.04545455,,94.8414754,5,,,
-0.12,0.12,1.01,95875,138587,54.54545455,,94.84406177,5,,,
-0.11,0.12,1.01,95898,138476,78.94736842,,94.86641373,5,,,
-0.11,0.11,1.02,95880,138392,23.07692308,,94.91981262,5,,,
-0.11,0.11,1.01,95899,138458,54.54545455,,94.84498645,5,,,
-0.11,0.12,0.96,95922,138456,78.94736842,,94.83998054,5,,,
-0.09,0.11,1,95855,138504,23.07692308,,94.84451338,5,,,
-0.09,0.11,1.02,95916,138589,54.54545455,,94.83971529,5,,,
-0.1,0.11,1.06,95962,138574,76.92307692,,94.8414754,5,,,
-0.11,0.11,1.01,95962,138507,11.9047619,,94.84406177,5,,,
-0.1,0.11,1.01,95923,138592,16.94915254,,94.86641374,5,,,
-0.1,0.05,0.82,96016,138573,54.54545455,,94.9059755,5,,,
-0.13,0.06,1.03,95905,138606,78.94736842,,94.84484363,5,,,
-0.12,0.09,1.07,95975,138555,23.07692308,,94.84333426,5,,,
-0.13,0.08,1.06,95955,138493,54.54545455,,94.84164582,5,,,
-0.13,0.08,1.1,95959,138599,78.94736842,,94.84382942,5,,,
-0.12,0.09,1.05,95943,138479,23.07692308,,94.84105137,5,,,
-0.11,0.08,1.01,95850,138400,54.54545455,,94.85033078,5,,,
-0.11,0.08,1,95980,138375,76.92307692,,94.85563756,5,,,
-0.09,0.1,1,95917,138290,11.85770751,,96.09509342,5,,,
-0.07,0.11,1.02,95874,138362,17.04545455,,94.72641919,5,,,
-0.1,0.08,1,95890,138384,54.54545455,,95.57431875,5,,,
-0.08,0.08,0.96,95961,138340,78.94736842,,96.93203505,5,,,
-0.04,0.08,0.96,95916,138350,23.07692308,,98.72815791,5,,,
-0.04,0.07,0.93,95935,138279,54.54545455,,97.15388734,5,,,
-0.14,0.06,0.99,95942,138329,78.94736842,,99.49271086,5,,,
-0.14,0.06,1.02,96060,138434,23.07692308,,91.58472281,5,,,
-0.22,0.09,1.05,96074,138384,54.54545455,,87.60162372,5,,,
-0.2,0.12,1.06,96048,138388,76.92307692,,94.84481823,5,,,
-0.18,0.17,1.06,96107,138260,11.95219124,,94.84323872,5,,,
