Time Period,IR,RED
8.78,662,767
8.8,627,768
8.82,760,782
8.84,645,769
8.86,619,803
8.88,613,781
8.9,671,806
8.92,688,734
8.94,625,803
8.96,721,810
8.98,652,723
9,668,808
9.02,716,792
9.04,645,794
9.06,593,808
9.08,684,775
9.1,685,712
9.12,668,816
9.14,705,799
9.16,688,843
9.18,736,784
9.2,683,728
9.22,662,842
9.24,647,800
9.26,628,823
9.28,701,801
9.3,702,769
9.32,605,744
9.34,666,885
9.36,685,806
9.38,683,756
9.4,656,811
9.42,715,887
9.44,668,831
9.46,656,785
9.48,626,773
9.5,710,838
9.52,702,827
9.54,699,828
9.56,662,798
9.58,671,1726
9.6,1962,7638
9.62,6835,12934
9.64,11169,21300
9.66,19917,42634
9.68,58332,74529
9.7,88520,107624
9.72,90390,134138
9.74,91878,135130
9.76,92457,135430
9.78,92775,135625
9.8,92921,135700
9.82,93094,135968
9.84,93285,136001
9.86,93313,135971
9.88,93401,136103
9.9,93534,136144
9.92,93590,136181
9.94,93615,136192
9.96,93655,136278
9.98,93753,136437
10,93799,136439
10.02,93851,136459
10.04,93825,136536
10.06,93986,136658
10.08,93973,136660
10.1,94008,136818
10.12,94082,136947
10.14,94175,136966
10.16,94179,136997
10.18,94145,137029
10.2,94320,137154
10.22,94373,137181
10.24,94328,137238
10.26,94389,137290
10.28,94372,137356
10.3,94449,137396
10.32,94465,137436
10.34,94503,137442
10.36,94407,137386
10.38,94534,137412
10.4,94519,137313
10.42,94504,137387
10.44,94438,137239
10.46,94356,137258
10.48,94353,137187
10.5,94243,137130
10.52,94278,137223
10.54,94462,137407
10.56,94460,137441
10.58,94461,137596
10.6,94697,137678
10.62,94716,137821
10.64,94793,137799
10.66,94880,137824
10.68,94848,137833
10.7,94932,137985
10.72,95006,137913
10.74,95011,137939
10.76,95032,137986
10.78,95201,138028
10.8,95142,138052
10.82,95199,138102
10.84,95202,137994
10.86,95100,138006
10.88,95246,138111
10.9,95266,138135
10.92,95344,138235
10.94,95412,138214
10.96,95380,138214
10.98,95465,138203
11,95460,138241
11.02,95482,138248
11.04,95518,138267
11.06,95613,138273
11.08,95577,138451
11.1,95770,138433
11.12,95870,138429
11.14,95773,138356
11.16,95765,138418
11.18,95955,138454
11.2,95923,138482
11.22,95871,138371
11.24,95787,138301
11.26,95876,138335
11.28,95777,138426
11.3,95966,138448
11.32,95881,138403
11.34,95889,138525
11.36,95766,138417
11.38,95814,138515
11.4,95950,138529
11.42,95855,138436
11.44,95875,138587
11.46,95898,138476
11.48,95880,138392
11.5,95899,138458
11.52,95922,138456
11.54,95855,138504
11.56,95916,138589
11.58,95962,138574
11.6,95962,138507
11.62,95923,138592
11.64,96016,138573
11.66,95905,138606
11.68,95975,138555
11.7,95955,138493
11.72,95959,138599
11.74,95943,138479
11.76,95850,138400
11.78,95980,138375
11.8,95917,138290
11.82,95874,138362
11.84,95890,138384
11.86,95961,138340
11.88,95916,138350
11.9,95935,138279
11.92,95942,138329
11.94,96060,138434
11.96,96074,138384
11.98,96048,138388
12,96107,138260
12.02,96015,138228
12.04,96048,138233
12.06,96011,138209
12.08,96034,138236
12.1,96007,138262
12.12,96166,138267
12.14,96128,138218
12.16,96139,138355
12.18,96134,138319
12.2,96081,138339
12.22,96204,138375
12.24,96192,138223
12.26,96189,138357
12.28,96209,138282
12.3,96200,138227
12.32,96215,138351
12.34,96227,138394
12.36,96277,138311
12.38,96256,138392
12.4,96390,138422
12.42,96297,138428
12.44,96325,138448
12.46,96321,138534
12.48,96358,138456
12.5,96349,138375
12.52,96285,138284
12.54,96266,138240
12.56,96328,138401
12.58,96340,138377
12.6,96314,138317
12.62,96242,138334
12.64,96379,138326
12.66,96304,138208
12.68,96295,138386
12.7,96336,138329
12.72,96248,138364
12.74,96410,138398
12.76,96325,138266
12.78,96354,138251
12.8,96299,138323
12.82,96261,138321
12.84,96398,138395
12.86,96343,138331
12.88,96360,138334
12.9,96404,138387
12.92,96345,138333
12.94,96357,138404
12.96,96396,138421
12.98,96367,138374
13,96289,138334
13.02,96429,138324
13.04,96350,138348
13.06,96355,138417
13.08,96360,138396
13.1,96356,138283
13.12,96343,138427
13.14,96376,138368
13.16,96328,138427
13.18,96479,138387
13.2,96319,138400
13.22,96451,138392
13.24,96397,138415
13.26,96347,138389
13.28,96429,138439
13.3,96426,138344
13.32,96350,138303
13.34,96326,138356
13.36,96389,138471
13.38,96450,138373
13.4,96402,138406
13.42,96411,138489
13.44,96410,138469
13.46,96355,138405
13.48,96428,138304
13.5,96416,138379
13.52,96305,138275
13.54,96389,138397
13.56,97307,138861
13.58,97290,138869
13.6,97339,138861
13.62,97273,138929
13.64,97263,138939
13.66,97373,139011
13.68,97360,139054
13.7,97369,138934
13.72,97390,139073
13.74,97417,139059
13.76,97392,139111
13.78,97352,139165
13.8,97447,139218
13.82,97464,139157
13.84,97394,139146
13.86,97403,139116
13.88,97481,139090
13.9,97517,139081
13.92,97405,139116
13.94,97332,139110
13.96,97358,138979
13.98,97339,138783
14,97307,138721
14.02,97271,138834
14.04,97398,138979
14.06,97395,139068
14.08,97311,138999
14.1,97405,139118
14.12,97496,139094
14.14,97405,138976
14.16,97438,138947
14.18,97514,139029
14.2,97451,138944
14.22,97438,139013
14.24,97436,139054
14.26,97502,138953
14.28,97348,138897
14.3,97335,138950
14.32,97447,138940
14.34,97387,139042
14.36,97373,139251
14.38,97550,139239
14.4,97476,139144
14.42,97484,139284
14.44,97457,139039
14.46,97412,139000
14.48,97475,138931
14.5,97415,138989
14.52,97404,138950
14.54,97420,139061
14.56,97426,139019
14.58,97394,138949
14.6,97406,138891
14.62,97375,138887
14.64,97338,138971
14.66,97494,138977
14.68,97459,138928
14.7,97396,138880
