~Time(seconds),R,IR
27.38,9660,11297
27.4,9472,11344
27.42,9572,11416
27.44,9577,11502
27.46,9642,11391
27.48,9547,11362
27.5,9437,11296
27.52,9557,11395
27.54,9590,11425
27.56,9688,11507
27.58,9541,11310
27.6,9558,11370
27.62,9586,11413
27.64,9666,11547
27.66,9561,11446
27.68,9593,11260
27.7,9511,11384
27.72,9598,11413
27.74,9604,11535
27.76,9692,11498
27.78,9617,11356
27.8,9573,11423
27.82,9586,11421
27.84,9682,11462
27.86,9620,11386
27.88,9567,11555
27.9,9688,11440
27.92,9595,11387
27.94,9502,11298
27.96,9541,11518
27.98,9551,11420
28,9542,11362
