X,Y,Z,R,IR,HR,RR,SPO2,Activity,HR Mean,RR Mean,SPO2 Mean
0.06,-0.2,1.04,9992,11951,62.5,18.18181818,93.79937377,2,,,
0.04,-0.2,1.08,10150,11866,88.23529412,16.39344262,81.65464662,2,,,
0.04,-0.19,1.1,10169,12216,96.77419355,17.04545455,93.00404406,2,,,
0.04,-0.19,1.08,10003,12120,107.1428571,18.98734177,99.8805447,2,,,
0.09,-0.19,1.04,9880,11988,81.08108108,19.48051948,97.98762495,2,,,
0.06,-0.19,1.05,10021,12097,50,20.13422819,89.83389263,2,,,
0.1,-0.19,1.05,10111,12186,130.4347826,19.86754967,97.46734129,2,,,
0.06,-0.19,1.08,9969,12118,62.5,18.51851852,97.18902312,2,,,
0.05,-0.17,1.06,10028,11901,65.2173913,15.2284264,98.07231689,2,,,
0.08,-0.2,1.02,9901,12063,71.42857143,15.15151515,93.49477027,2,,,
0.08,-0.19,1.01,10005,12132,60,19.35483871,99.86939449,2,,,
0.05,-0.17,1.02,10012,12146,96.77419355,16.57458564,99.70529457,2,,,
0.04,-0.2,1.04,10136,12112,46.875,19.35483871,88.13321856,2,,,
0.06,-0.17,1.04,9909,11998,57.69230769,12.39669421,99.30044308,2,,,
0.05,-0.19,0.96,10017,12121,55.55555556,14.42307692,99.26287844,2,,,
0.04,-0.19,1.01,10026,12125,83.33333333,11.23595506,99.11346112,2,,,
0.06,-0.17,1.04,10185,12244,78.94736842,18.18181818,99.93946629,2,,,
0.05,-0.19,1.08,10046,12168,93.75,22.22222222,98.8068773,2,,,
0.06,-0.19,1.09,10040,12005,78.94736842,15,96.19169563,2,,,
0.09,-0.17,1.05,9946,12104,37.5,,99.70133323,2,,,
0.06,-0.19,1.02,10154,12205,46.875,,95.67443633,2,,,
0.05,-0.19,1.1,10089,12148,85.71428571,,99.896046,2,,,
0.04,-0.17,1.05,10009,12180,93.75,,99.8394549,2,,,
0.08,-0.19,1.04,9940,12077,51.72413793,,99.58111984,2,,,
0.06,-0.2,1.04,10035,12152,62.5,,97.75309421,2,,,
0.05,-0.19,1.09,10122,12122,83.33333333,,90.78998061,2,,,
0.08,-0.17,1.05,10049,12158,75,,99.31216008,2,,,
0.08,-0.19,1.08,9864,12021,73.17073171,,98.46859792,2,,,
0.06,-0.2,1.06,9984,12103,81.08108108,,98.6727924,2,,,
0.09,-0.2,1.05,10010,12103,111.1111111,,99.95298865,2,,,
0.05,-0.22,1.02,10194,12207,83.33333333,,99.72335437,2,,,
0.08,-0.2,1.05,10062,12164,73.17073171,,96.42200634,2,,,
0.06,-0.2,1.05,9973,12123,96.77419355,,97.33060165,2,,,
0.09,-0.2,1.06,9889,12044,120,,98.4896985,2,,,
0.06,-0.2,1.06,10039,12142,73.17073171,,97.79843622,2,,,
0.04,-0.2,0.99,10126,12134,68.18181818,,99.95243229,2,,,
0.09,-0.2,1.05,10060,12141,157.8947368,,97.82498668,2,,,
0.06,-0.2,1.04,9901,12027,96.77419355,,93.73488481,2,,,
0.06,-0.2,1.05,9995,12081,85.71428571,,99.73445623,2,,,
0.04,-0.2,1.02,10026,12096,90.90909091,,96.28716131,2,,,
0.05,-0.19,1.05,10022,12070,60,,97.52590827,2,,,
0.05,-0.19,1.08,9899,11965,96.77419355,,99.61707087,2,,,
0.06,-0.19,1.02,9961,12092,107.1428571,,98.24540534,2,,,
0.03,-0.2,1.01,10034,12092,83.33333333,,95.89599114,2,,,
0.03,-0.2,1.02,10160,12182,120,,99.79464098,2,,,
0.04,-0.19,1.06,10048,12119,150,,94.0484173,2,,,
0.06,-0.19,1.08,9964,11970,81.08108108,,95.15458658,2,,,
0.06,-0.19,1.04,9964,12065,63.82978723,,93.59596319,2,,,
0.08,-0.19,1.08,10040,12068,88.23529412,,95.08416341,2,,,
0.06,-0.19,1.06,10031,12191,115.3846154,,97.1434501,2,,,
0.08,-0.19,1.1,9998,12018,88.23529412,,96.63650478,2,,,
0.06,-0.19,1.04,9922,12063,93.75,,99.92890815,2,,,
0.08,-0.17,1.06,10004,12101,100,,99.00145279,2,,,
0.08,-0.19,1.06,10030,12067,50,,99.64856827,2,,,
0.08,-0.17,1.06,10125,12151,93.75,,91.37800502,2,,,
0.09,-0.19,1.08,10012,12055,44.11764706,,94.89896845,2,,,
0.1,-0.16,1.01,9955,11887,62.5,,95.95837273,2,,,
0.04,-0.2,1.04,9893,12043,90.90909091,,94.55557634,2,,,
0.05,-0.21,1.05,9993,12133,50.84745763,,95.53550222,2,,,
0.06,-0.21,1.08,9994,12083,83.33333333,,94.89309361,2,,,
0.05,-0.2,1.05,9991,11930,83.33333333,,99.29753979,2,,,
0.09,-0.19,1.06,9889,11994,65.2173913,,99.02509295,2,,,
0.09,-0.19,1.09,9978,12032,71.42857143,,97.89758931,2,,,
0.08,-0.19,1.06,9983,12018,107.1428571,,96.56821734,2,,,
0.06,-0.19,1.05,10088,12095,71.42857143,,99.58097834,2,,,
0.04,-0.19,1.05,9854,11930,85.71428571,,99.94879935,2,,,
0.06,-0.19,1.04,9959,12049,88.23529412,,99.59146317,2,,,
0.05,-0.2,1.08,9993,12062,120,,90.60454267,2,,,
0.05,-0.21,1.05,10159,12187,63.82978723,,95.72874767,2,,,
0.03,-0.2,1.06,10011,12096,46.875,,95.57679262,2,,,
0.03,-0.2,1.02,10028,12032,107.1428571,,99.12849494,2,,,
0.06,-0.21,1.06,9931,12037,88.23529412,,97.55616048,2,,,
0.05,-0.19,1.1,10001,12087,115.3846154,,97.88716565,2,,,
0.04,-0.17,1.06,10012,12059,85.71428571,,86.05706879,2,,,
0.06,-0.19,1.05,10020,12074,96.77419355,,96.22835856,2,,,
0.09,-0.17,1.01,9858,11944,115.3846154,,96.80152761,2,,,
0.09,-0.2,1.02,9978,12055,100,,99.02358109,2,,,
0.04,-0.22,1.08,9996,12040,42.25352113,,99.70045516,2,,,
0.05,-0.2,1.04,10121,12048,75,,91.33701632,2,,,
0.06,-0.21,1.05,9875,12028,107.1428571,,98.15374012,2,,,
0.08,-0.2,1.05,9995,12043,81.08108108,,99.94221927,2,,,
0.05,-0.17,1.02,9992,12082,83.33333333,,90.11799359,2,,,
0.04,-0.19,1.05,10094,12092,56.60377358,,98.8394624,2,,,
0.01,-0.19,1.08,9995,12039,85.71428571,,93.71463914,2,,,
0.04,-0.19,1.06,9806,11920,81.08108108,,98.57768459,2,,,
0.04,-0.2,1.08,9928,12008,76.92307692,,99.95608456,2,,,
0.08,-0.17,1.01,9964,11989,66.66666667,,98.75706804,2,,,
0.04,-0.19,1.08,9961,12053,90.90909091,,99.94740727,2,,,
0.05,-0.2,1.06,10057,11831,90.90909091,,98.99164112,2,,,
0.09,-0.21,1.02,9834,11917,85.71428571,,97.20957021,2,,,
0.03,-0.2,1.04,9942,11962,61.2244898,,99.80930482,2,,,
0.06,-0.2,1.05,9947,11966,50,,94.95765644,2,,,
0.08,-0.19,1.05,10080,12081,88.23529412,,99.7238175,2,,,
0.04,-0.19,1.04,9978,11938,81.08108108,,99.60400236,2,,,
0.09,-0.19,1.02,9976,12035,65.2173913,,92.44296794,2,,,
0.08,-0.19,1.05,9984,12017,83.33333333,,92.54709595,2,,,
0.06,-0.2,1.09,10124,12111,66.66666667,,99.4362845,2,,,
0.08,-0.2,1.08,10020,12042,83.33333333,,99.57835316,2,,,
0.03,-0.2,1.05,9918,11921,63.82978723,,99.88326766,2,,,
0.05,-0.2,1.02,9882,11992,78.94736842,,99.23117036,2,,,
0.04,-0.19,1.01,9982,12014,88.23529412,,99.92344686,2,,,
