X,Y,Z,R,IR,HR,RR,SPO2,Activity,HR Mean,RR Mean,SPO2 Mean
0.03,-0.16,1.02,9275,10116,78.94736842,,98.65829754,1,,,
0,-0.15,1.01,9369,10172,93.75,,99.67346836,1,,,
-0.01,-0.19,1.05,9356,10237,60,,88.79483308,1,,,
-0.03,-0.17,1.06,9445,10224,90.90909091,,98.29778492,1,,,
0.01,-0.17,0.99,9350,10109,96.77419355,,95.74210233,1,,,
0.03,-0.16,1.04,9183,10021,63.82978723,,94.17596845,1,,,
0,-0.16,0.98,9310,10096,65.2173913,,95.59967504,1,,,
-0.01,-0.14,1.04,9366,10143,68.18181818,,99.85444663,1,,,
-0.01,-0.17,1.05,9389,10240,41.09589041,,99.84252433,1,,,
0,-0.17,1.05,9445,9967,90.90909091,,97.39720418,1,,,
0,-0.14,1.04,9278,10095,111.1111111,,96.20740724,1,,,
-0.01,-0.14,1.06,9319,10160,69.76744186,,91.24581573,1,,,
0,-0.15,1.09,9339,10135,61.2244898,,95.09949212,1,,,
0.01,-0.15,1.06,9455,10206,53.57142857,,97.72830482,1,,,
0,-0.15,1.02,9353,10154,73.17073171,,94.96452382,1,,,
-0.03,-0.15,1.02,9199,10022,58.82352941,,98.24542914,1,,,
-0.03,-0.16,1.08,9305,10124,63.82978723,,90.39002397,1,,,
-0.03,-0.15,1.06,9323,10186,44.7761194,,98.63355975,1,,,
0.01,-0.16,1.08,9369,10124,107.1428571,,82.88943906,1,,,
0.01,-0.16,1.06,9162,10008,60,,94.845,1,,,
0.01,-0.17,1.08,9301,10115,53.57142857,,93.88885139,1,,,
-0.01,-0.15,1.01,9340,10106,55.55555556,,97.93136253,1,,,
0,-0.15,1.02,9404,10200,62.5,,96.09585785,1,,,
0,-0.16,1.06,9361,10124,56.60377358,,99.85930674,1,,,
0.01,-0.17,1.09,9293,10099,52.63157895,,95.5469654,1,,,
0.01,-0.17,1.05,9157,10075,90.90909091,,98.93316979,1,,,
0.01,-0.14,1.08,9290,10201,107.1428571,,99.95054697,1,,,
0,-0.16,1.06,9421,10123,51.72413793,,98.7799309,1,,,
0,-0.15,1.08,9310,10056,56.60377358,,93.43770885,1,,,
0.01,-0.16,1.09,9155,9990,71.42857143,,97.19501975,1,,,
0,-0.15,1.04,9255,10110,63.82978723,,92.94356197,1,,,
0.03,-0.17,1.06,9435,10213,58.82352941,,99.50270471,1,,,
0.01,-0.14,1.02,9314,10150,46.15384615,,97.61247606,1,,,
0.03,-0.16,1.05,9308,9965,69.76744186,,94.56996957,1,,,
0.03,-0.17,1.08,9221,10082,85.71428571,,99.7851921,1,,,
0,-0.15,1.06,9292,10122,103.4482759,,98.59545365,1,,,
0,-0.16,1.08,9412,10171,58.82352941,,99.95652033,1,,,
0.04,-0.16,1.02,9262,10123,49.18032787,,95.9974267,1,,,
0.01,-0.14,1.06,9305,9969,69.76744186,,81.20909705,1,,,
0.01,-0.15,1.08,9198,10022,45.45454545,,94.17126559,1,,,
0.03,-0.19,1.05,9280,10190,65.2173913,,90.65461913,1,,,
0,-0.19,1.04,9366,10074,81.08108108,,85.14284008,1,,,
0.03,-0.15,1.05,9314,10114,103.4482759,,94.10326675,1,,,
0.03,-0.16,1.06,9158,10010,93.75,,99.75670304,1,,,
0.01,-0.19,1.06,9258,10128,56.60377358,,87.32232557,1,,,
0,-0.16,1.09,9300,10140,75,,98.01362704,1,,,
-0.03,-0.16,1.08,9446,10257,85.71428571,,98.20354656,1,,,
-0.03,-0.17,1.08,9333,10143,83.33333333,,98.49100476,1,,,
