time(second),IR,RED
11.42,8504,10588
11.44,8543,10594
11.46,8477,10619
11.48,8496,10563
11.5,8541,10565
11.52,8506,10636
11.54,8501,10589
11.56,8508,10613
11.58,8479,10577
11.6,8499,10515
11.62,8559,10652
11.64,8472,10560
11.66,8526,10548
11.68,8529,10602
11.7,8478,10592
11.72,8502,10564
11.74,8523,10572
11.76,8474,10599
11.78,8476,10578
11.8,8507,10595
11.82,8462,10566
11.84,8528,10533
11.86,8437,10564
11.88,8501,10575
11.9,8522,10602
11.92,8443,10589
11.94,8480,10545
11.96,8533,10552
11.98,8483,10640
12,8494,10607
12.02,8466,10603
12.04,8477,10574
12.06,8471,10514
12.08,8527,10610
12.1,8477,10586
12.12,8442,10554
12.14,8534,10568
12.16,8489,10593
12.18,8517,10612
12.2,8463,10644
12.22,8482,10588
12.24,8512,10554
12.26,8521,10676
12.28,8472,10613
12.3,8482,10665
12.32,8543,10649
12.34,8441,10611
12.36,8500,10579
12.38,8521,10590
12.4,8420,10568
12.42,8519,10555
12.44,8443,10552
12.46,8467,10589
12.48,8444,10571
12.5,8462,10563
12.52,8463,10555
12.54,8519,10636
12.56,8457,10545
12.58,8525,10627
12.6,8443,10569
12.62,8503,10617
12.64,8465,10626
12.66,8415,10568
12.68,8496,10600
12.7,8449,10575
12.72,8460,10499
12.74,8421,10560
12.76,8426,10613
12.78,8474,10557
12.8,8472,10586
12.82,8465,10548
12.84,8470,10582
12.86,8426,10555
12.88,8491,10596
12.9,8451,10519
12.92,8486,10583
12.94,8458,10611
12.96,8423,10528
12.98,8462,10552
13,8441,10576
13.02,8442,10525
13.04,8414,10559
13.06,8427,10534
13.08,8401,10524
13.1,8440,10488
13.12,8500,10560
13.14,8442,10512
13.16,8443,10551
13.18,8418,10506
13.2,8492,10569
13.22,8424,10502
13.24,8436,10589
13.26,8430,10494
13.28,8480,10525
13.3,8462,10557
13.32,8422,10533
13.34,8486,10524
13.36,8451,10536
13.38,8390,10516
13.4,8460,10498
13.42,8460,10533
13.44,8423,10501
13.46,8461,10517
13.48,8415,10499
13.5,8476,10502
13.52,8450,10505
13.54,8444,10496
13.56,8482,10491
13.58,8389,10487
13.6,8479,10507
13.62,8415,10549
13.64,8421,10522
13.66,8450,10489
13.68,8422,10509
13.7,8500,10546
13.72,8438,10498
13.74,8468,10479
13.76,8429,10499
13.78,8462,10549
13.8,8432,10527
13.82,8411,10472
13.84,8420,10582
13.86,8421,10477
13.88,8464,10541
13.9,8472,10553
13.92,8379,10527
13.94,8453,10525
13.96,8443,10554
13.98,8435,10618
14,8454,10552
14.02,8413,10526
14.04,8465,10525
14.06,8437,10559
14.08,8442,10527
14.1,8475,10509
14.12,8457,10560
14.14,8461,10587
14.16,8428,10546
14.18,8455,10552
14.2,8445,10561
14.22,8427,10528
14.24,8430,10545
14.26,8476,10513
14.28,8425,10560
14.3,8452,10584
14.32,8427,10495
14.34,8446,10596
14.36,8437,10499
14.38,8454,10540
14.4,8441,10531
14.42,8480,10530
14.44,8434,10581
14.46,8471,10560
14.48,8392,10526
14.5,8463,10509
14.52,8455,10551
14.54,8436,10594
14.56,8446,10497
14.58,8479,10552
14.6,8467,10513
14.62,8475,10513
14.64,8390,10483
14.66,8416,10513
14.68,8438,10547
14.7,8425,10496
14.72,8465,10535
14.74,8420,10523
14.76,8421,10524
14.78,8473,10469
14.8,8424,10575
14.82,8414,10537
14.84,8451,10503
14.86,8483,10614
14.88,8427,10525
14.9,8494,10545
14.92,8470,10524
14.94,8410,10502
14.96,8462,10543
14.98,8414,10534
15,8420,10479
15.02,8446,10540
15.04,8454,10547
15.06,8430,10547
15.08,8425,10566
15.1,8403,10491
15.12,8446,10549
15.14,8376,10506
15.16,8444,10592
15.18,8410,10505
15.2,8441,10503
15.22,8435,10505
15.24,8342,10522
15.26,8396,10516
15.28,8447,10492
15.3,8414,10535
15.32,8393,10498
15.34,8442,10559
15.36,8376,10572
15.38,8415,10528
15.4,8443,10534
15.42,8326,10547
15.44,8408,10608
15.46,8389,10554
15.48,8360,10587
15.5,8442,10559
15.52,8359,10537
15.54,8392,10536
15.56,8381,10464
15.58,8435,10554
15.6,8384,10580
15.62,8379,10534
15.64,8441,10578
15.66,8392,10542
15.68,8446,10531
15.7,8401,10586
15.72,8398,10535
15.74,8399,10593
15.76,8375,10503
15.78,8434,10538
15.8,8406,10600
15.82,8419,10555
15.84,8340,10515
15.86,8426,10528
15.88,8412,10574
15.9,8375,10529
15.92,8398,10491
15.94,8446,10579
15.96,8461,10553
15.98,8386,10579
16,8392,10489
16.02,8396,10489
16.04,8450,10488
16.06,8391,10521
16.08,8450,10534
16.1,8404,10535
16.12,8418,10488
16.14,8412,10562
16.16,8401,10513
16.18,8416,10509
16.2,8383,10571
16.22,8381,10485
16.24,8424,10511
16.26,8353,10487
16.28,8401,10503
16.3,8409,10513
16.32,8410,10530
16.34,8392,10451
16.36,8435,10534
16.38,8349,10494
16.4,8411,10459
16.42,8382,10490
16.44,8387,10486
16.46,8418,10537
16.48,8383,10510
16.5,8355,10480
16.52,8427,10532
16.54,8386,10478
16.56,8415,108532
16.58,8464,10576
16.6,8544,10596
16.62,8482,10581
16.64,8523,10593
16.66,8553,10700
16.68,8504,10575
16.7,8504,10588
16.72,8543,10594
16.74,8477,10619
16.76,8496,10563
16.78,8541,10565
16.8,8506,10636
16.82,8501,10589
16.84,8508,10613
16.86,8479,10577
16.88,8499,10515
16.9,8559,10652
16.92,8472,10560
16.94,8526,10548
16.96,8529,10602
16.98,8478,10592
17,8502,10564
17.02,8523,10572
17.04,8474,10599
17.06,8476,10578
17.08,8507,10595
17.1,8462,10566
17.12,8528,10533
17.14,8437,10564
17.16,8501,10575
17.18,8522,10602
17.2,8443,10589
17.22,8480,10545
17.24,8533,10552
17.26,8483,10640
17.28,8494,10607
17.3,8466,10603
17.32,8477,10574
17.34,8471,10514
17.36,8527,10610
17.38,8477,10586
17.4,8442,10554
17.42,8534,10568
17.44,8489,10593
17.46,8517,10612
17.48,8463,10644
17.5,8482,10588
17.52,8512,10554
17.54,8521,10676
17.56,8472,10613
17.58,8482,10665
17.6,8543,10649
17.62,8441,10611
17.64,8500,10579
17.66,8521,10590
17.68,8420,10568
17.7,8519,10555
17.72,8443,10552
17.74,8467,10589
17.76,8444,10571
17.78,8462,10563
17.8,8463,10555
17.82,8519,10636
17.84,8457,10545
17.86,8525,10627
17.88,8443,10569
17.9,8503,10617
17.92,8465,10626
17.94,8415,10568
17.96,8496,10600
17.98,8449,10575
18,8460,10499
18.02,8421,10560
18.04,8426,10613
18.06,8474,10557
18.08,8472,10586
18.1,8465,10548
18.12,8470,10582
18.14,8426,10555
18.16,8491,10596
18.18,8451,10519
18.2,8486,10583
18.22,8458,10611
18.24,8423,10528
18.26,8462,10552
18.28,8441,10576
18.3,8442,10525
18.32,8414,10559
18.34,8427,10534
18.36,8401,10524
18.38,8440,10488
18.4,8500,10560
18.42,8442,10512
18.44,8443,10551
