X,Y,Z,R,IR,HR,RR,SPO2,Activity,HR Mean,RR Mean,SPO2 Mean
0.06,-0.21,1.09,10103,11116,48.38709677,,98.76770231,4,,,
0.04,-0.21,1.11,10165,11085,66.66666667,,81.54892971,4,,,
0.08,-0.2,1.11,10146,11128,37.97468354,,95.27259129,4,,,
0.06,-0.19,1.08,9954,10974,61.2244898,,98.8182624,4,,,
0.1,-0.17,1.09,10062,11064,76.92307692,,94.25747678,4,,,
0.1,-0.19,1.08,10073,11076,45.45454545,,97.69220188,4,,,
0.11,-0.2,1,10169,11136,85.71428571,,99.88851832,4,,,
0.08,-0.2,1.05,10048,11030,68.18181818,,92.96822709,4,,,
0.06,-0.21,0.99,10082,11075,107.1428571,,96.34719927,4,,,
0.1,-0.19,1.04,10078,11133,81.08108108,,98.64964561,4,,,
0.05,-0.2,1.05,10200,11209,81.08108108,,99.73005792,4,,,
0.04,-0.19,1,10085,11153,71.42857143,,90.21058608,4,,,
0.1,-0.17,1.04,10112,11129,111.1111111,,99.25916089,4,,,
0.1,-0.19,0.99,9985,11089,57.69230769,,99.27781288,4,,,
0.11,-0.19,1.01,10098,11130,136.3636364,,99.63727413,4,,,
0.11,-0.19,1,10089,11116,61.2244898,,98.39520538,4,,,
0.1,-0.17,1.01,10101,11105,60,,92.10922129,4,,,
0.09,-0.2,1.01,9925,10964,37.5,,83.17313132,4,,,
0.11,-0.2,0.99,10006,11030,85.71428571,,98.76414093,4,,,
0.13,-0.19,0.99,10074,11028,88.23529412,,99.44837259,4,,,
0.15,-0.2,1.04,10223,11123,41.09589041,,97.20984259,4,,,
0.11,-0.19,1.05,9985,10909,88.23529412,,99.54797816,4,,,
0.03,-0.24,1,10010,10964,55.55555556,,99.47966115,4,,,
0.01,-0.21,1.06,10129,11030,57.69230769,,93.77915507,4,,,
0.09,-0.2,1.05,10029,11003,76.92307692,,85.47357687,4,,,
0.08,-0.2,1.05,9971,10904,85.71428571,,99.4919604,4,,,
0.04,-0.2,1.04,10057,10978,69.76744186,,94.28321072,4,,,
0.08,-0.2,1.01,10041,11098,100,,95.3691951,4,,,
0.1,-0.2,1.09,10128,10966,73.17073171,,99.5188142,4,,,
0.1,-0.2,1.11,10007,10977,90.90909091,,99.55639524,4,,,
0.11,-0.21,1.09,9854,10849,78.94736842,,98.46650305,4,,,
0.13,-0.2,1.05,9972,10948,42.25352113,,99.68523821,4,,,
0.13,-0.2,1.05,10021,10963,40.54054054,,97.60996352,4,,,
0.1,-0.24,1.09,10088,11064,81.08108108,,98.96188292,4,,,
0.08,-0.22,1.1,10050,11024,90.90909091,,99.70691151,4,,,
0.08,-0.21,1.08,10020,10957,58.82352941,,99.93900673,4,,,
0.08,-0.22,1.06,9897,10846,25.86206897,,98.1569064,4,,,
0.05,-0.2,1.02,9997,10914,28.84615385,,96.79066406,4,,,
0.06,-0.2,1.01,9990,10911,29.12621359,,98.14990159,4,,,
0.08,-0.2,1.02,10109,11012,42.25352113,,99.31699531,4,,,
0.04,-0.2,1,10026,10914,58.82352941,,95.06869659,4,,,
0.01,-0.22,1,9961,10828,58.82352941,,91.59250823,4,,,
0.06,-0.19,1.01,9909,10889,76.92307692,,99.78629972,4,,,
0.11,-0.15,1,9983,10908,71.42857143,,93.19589655,4,,,
0.13,-0.14,1,9952,10970,81.08108108,,99.95672888,4,,,
0.1,-0.16,1.04,10074,10932,63.82978723,,88.7321689,4,,,
0.08,-0.16,1.06,9988,10869,37.03703704,,98.55362709,4,,,
0.06,-0.19,1.06,9824,10800,81.08108108,,97.89094769,4,,,
0.05,-0.17,0.99,9909,10866,63.82978723,,97.34431027,4,,,
0.01,-0.19,1.05,9928,10968,42.25352113,,96.07689263,4,,,
0.05,-0.17,1.05,9916,10915,58.82352941,,99.10185001,4,,,
0.06,-0.19,1.02,9976,10778,150,,99.11607167,4,,,
0.04,-0.16,1,9846,10864,58.82352941,,95.23160135,4,,,
0.01,-0.19,1.06,9961,10884,60,,96.07532128,4,,,
0.03,-0.19,1.05,9928,10871,53.57142857,,97.904643,4,,,
0.01,-0.19,1.08,10047,10985,47.61904762,,98.35977282,4,,,
0.04,-0.19,1.06,9987,10923,51.72413793,,94.88150296,4,,,
0.05,-0.2,1.1,9932,10943,65.2173913,,98.3578794,4,,,
0.04,-0.2,1.08,9989,10962,63.82978723,,98.91095297,4,,,
0,-0.2,1.02,10153,11083,61.2244898,,96.78813742,4,,,
0.01,-0.2,1.04,10063,10980,61.2244898,,99.93593468,4,,,
0.01,-0.2,1.08,9998,10992,34.09090909,,97.29843393,4,,,
0,-0.2,1.1,9999,11006,48.38709677,,94.64014326,4,,,
0.04,-0.22,1.04,9986,11090,78.94736842,,99.95337255,4,,,
-0.01,-0.21,1.04,10104,11007,39.47368421,,89.16750306,4,,,
0.01,-0.19,1.02,10021,11006,41.09589041,,91.68854506,4,,,
0.03,-0.17,1.08,9847,10891,90.90909091,,93.97086959,4,,,
0,-0.19,1.04,9990,11038,62.5,,99.95259584,4,,,
0.01,-0.19,1.09,10022,10990,48.38709677,,95.27534154,4,,,
-0.01,-0.19,1.05,10161,11102,103.4482759,,99.91965835,4,,,
0.01,-0.16,1.02,10028,11014,73.17073171,,99.25998796,4,,,
0.03,-0.17,1.04,9940,10959,85.71428571,,99.95403417,4,,,
0,-0.19,1.09,10007,10971,200,,97.177708,4,,,
0.01,-0.19,1.08,10013,11100,65.2173913,,82.69599927,4,,,
-0.01,-0.19,1.02,10100,10997,68.18181818,,88.79390108,4,,,
0.01,-0.19,1.05,10054,11024,75,,93.07510828,4,,,
0.03,-0.19,1.05,9919,10964,47.61904762,,98.60511444,4,,,
-0.03,-0.17,1.04,10026,11092,88.23529412,,99.47256723,4,,,
-0.04,-0.19,1.04,10191,11196,83.33333333,,95.29221627,4,,,
0,-0.17,0.99,10084,11116,63.82978723,,86.73131071,4,,,
-0.01,-0.19,1.04,9997,10970,44.7761194,,90.90423317,4,,,
0.03,-0.19,1.04,9991,11050,56.60377358,,94.98784001,4,,,
0.01,-0.19,1.02,10021,11061,69.76744186,,94.06584117,4,,,
-0.01,-0.2,1.04,10034,11184,107.1428571,,88.86926705,4,,,
-0.03,-0.2,1.02,10136,11103,85.71428571,,88.63767933,4,,,
-0.05,-0.19,1.04,10092,11025,115.3846154,,99.94411956,4,,,
-0.01,-0.19,1.04,10043,11063,66.66666667,,99.4114227,4,,,
-0.01,-0.2,1.05,10043,11168,56.60377358,,99.95564337,4,,,
-0.01,-0.2,1.02,10152,11113,65.2173913,,99.92439672,4,,,
0.01,-0.19,1.01,10045,11133,26.08695652,,90.79019455,4,,,
0,-0.2,1.02,9979,11064,20.97902098,,94.64716781,4,,,
0.01,-0.21,1.05,10078,11195,23.07692308,,82.42832223,4,,,
0,-0.2,1.04,10107,11218,44.11764706,,98.73059806,4,,,
-0.01,-0.2,1.05,10241,11305,50.84745763,,98.06909641,4,,,
-0.01,-0.19,1,10083,11223,68.18181818,,97.08317435,4,,,
0.03,-0.2,1.01,10111,11158,46.15384615,,86.20593238,4,,,
0.03,-0.2,1.02,10111,11237,53.57142857,,99.9084232,4,,,
0.06,-0.21,1,10147,11349,40,,99.93765577,4,,,
0.08,-0.16,1,10250,11246,71.42857143,,99.95131329,4,,,
0.04,-0.17,1.02,10142,11261,61.2244898,,86.43282602,4,,,
0.05,-0.17,1.06,9981,11120,75,,99.81633997,4,,,
0.04,-0.19,1.05,10099,11208,69.76744186,,98.9903454,4,,,
0.05,-0.19,1.05,10196,11294,130.4347826,,91.72373562,4,,,
0.08,-0.19,1.02,10113,11205,83.33333333,,95.12813866,4,,,
0.06,-0.19,1.02,9962,11103,93.75,,84.14034276,4,,,
0.06,-0.2,1.08,10035,11169,85.71428571,,98.70067027,4,,,
0.05,-0.21,1.06,10083,11192,93.75,,97.77568797,4,,,
0.06,-0.2,1.06,10074,11327,42.85714286,,99.40486735,4,,,
0.05,-0.21,1.05,10178,11161,103.4482759,,98.658824,4,,,
0.05,-0.22,1.01,10062,11178,44.7761194,,92.05992086,4,,,
0.04,-0.22,1.08,9941,11058,90.90909091,,87.0417184,4,,,
0.05,-0.2,1.04,10035,11151,53.57142857,,93.9022765,4,,,
0.04,-0.2,1.02,10055,11235,85.71428571,,96.45481019,4,,,
0.05,-0.24,1.05,10082,11175,68.18181818,,95.88075802,4,,,
0.04,-0.22,1.04,9984,10995,61.2244898,,99.11886403,4,,,
0.04,-0.22,1.06,9940,11101,69.76744186,,97.50008192,4,,,
0.03,-0.2,1.04,10035,11118,50.84745763,,89.08165008,4,,,
0.05,-0.2,1.09,10031,11072,88.23529412,,95.09995339,4,,,
0.05,-0.2,1.04,9998,10990,100,,99.70617573,4,,,
0.05,-0.22,1.05,9930,11021,73.17073171,,99.56696643,4,,,
0.05,-0.21,1.02,10012,11068,93.75,,97.73137897,4,,,
0.08,-0.21,1.04,10164,11193,100,,94.845,4,,,
0.04,-0.24,1.05,10025,11108,81.08108108,,99.4462178,4,,,
0.08,-0.21,1.06,9818,10972,50.84745763,,94.57360184,4,,,
0.1,-0.2,1,9990,11123,71.42857143,,99.55694665,4,,,
0.08,-0.21,1.04,10108,11159,56.60377358,,97.88921812,4,,,
0.05,-0.22,1,10029,11061,58.82352941,,98.74656385,4,,,
0.08,-0.22,1.05,9861,10960,53.57142857,,94.845,4,,,
0.06,-0.25,0.95,9914,11048,75,,98.96492203,4,,,
0.06,-0.24,1.01,9991,11157,40.54054054,,98.65622808,4,,,
