time(second),IR,RED
11.78,8201,10707
11.8,8153,10666
11.82,8230,10719
11.84,8202,10737
11.86,8193,10692
11.88,8241,10708
11.9,8196,10703
11.92,8167,10623
11.94,8155,10713
11.96,8187,10643
11.98,8216,10702
12,8187,10617
12.02,8246,10719
12.04,8185,10660
12.06,8219,10694
12.08,8149,10653
12.1,8217,10701
12.12,8195,10700
12.14,8216,10690
12.16,8191,10696
12.18,8221,10672
12.2,8203,10675
12.22,8171,10654
12.24,8242,10674
12.26,8187,10712
12.28,8154,10646
12.3,8180,10638
12.32,8234,10709
12.34,8195,10704
12.36,8133,10683
12.38,8207,10665
12.4,8229,10708
12.42,8151,10673
12.44,8204,10655
12.46,8194,10608
12.48,8234,10694
12.5,8213,10662
12.52,8218,10669
12.54,8172,10680
12.56,8156,10659
12.58,8220,10676
12.6,8221,10673
12.62,8220,10691
12.64,8123,10690
12.66,8156,10676
12.68,8208,10737
12.7,8163,10657
12.72,8238,10623
12.74,8159,10654
12.76,8228,10636
12.78,8175,10709
12.8,8173,10620
12.82,8172,10620
12.84,8213,10658
12.86,8157,10639
12.88,8234,10682
12.9,8194,10688
12.92,8161,10697
12.94,8177,10647
12.96,8216,10663
12.98,8180,10708
13,8139,10652
13.02,8225,10650
13.04,8158,10698
13.06,8157,10691
13.08,8175,10703
13.1,8181,10668
13.12,8211,10680
13.14,8208,10679
13.16,8147,10681
13.18,8188,10645
13.2,8173,10664
13.22,8141,10647
13.24,8195,10650
13.26,8224,10680
13.28,8160,10678
13.3,8191,10639
13.32,8208,10687
13.34,8141,10626
13.36,8161,10687
13.38,8168,10656
13.4,8191,10641
13.42,8201,10717
13.44,8175,10668
13.46,8147,10646
13.48,8216,10666
13.5,8171,10700
13.52,8225,10688
13.54,8161,10682
13.56,8170,10653
13.58,8222,10598
13.6,8215,10699
13.62,8159,10643
13.64,8166,10634
13.66,8183,10653
13.68,8188,10721
13.7,8188,10646
13.72,8219,10656
13.74,8154,10695
13.76,8140,10639
13.78,8177,10651
13.8,8206,10664
13.82,8161,10683
13.84,8188,10619
13.86,8232,10696
13.88,8195,10725
13.9,8127,10685
13.92,8229,10674
13.94,8182,10698
13.96,8169,10670
13.98,8161,10710
14,8186,10653
14.02,8221,10633
14.04,8200,10682
14.06,8197,10646
14.08,8223,10668
14.1,8167,10708
14.12,8191,10699
14.14,8139,10648
14.16,8219,10653
14.18,8134,10654
14.2,8189,10698
14.22,8189,10700
14.24,8149,10621
14.26,8193,10690
14.28,8225,10702
14.3,8149,10687
14.32,8160,10672
14.34,8171,10647
14.36,8185,10620
14.38,8156,10625
14.4,8205,10651
14.42,8193,10666
14.44,8192,10683
14.46,8140,10665
14.48,8236,10611
14.5,8124,10649
14.52,8200,10625
14.54,8220,10635
14.56,8169,10701
14.58,8193,10617
14.6,8213,10664
14.62,8151,10654
14.64,8189,10640
14.66,8206,10692
14.68,8220,10643
14.7,8193,10718
14.72,8200,10651
14.74,8216,10625
14.76,8203,10662
14.78,8120,10606
14.8,8238,10677
14.82,8153,10629
14.84,8201,10647
14.86,8133,10657
14.88,8167,10640
14.9,8125,10609
14.92,8203,10681
14.94,8141,10661
14.96,8147,10630
14.98,8218,10643
15,8158,10671
15.02,8158,10645
15.04,8190,10638
15.06,8173,10609
15.08,8213,10691
15.1,8189,10698
15.12,8124,10652
15.14,8220,10639
15.16,8177,10680
15.18,8158,10690
15.2,8166,10637
15.22,8167,10624
15.24,8231,10645
15.26,8178,10576
15.28,8230,10652
15.3,8149,10670
15.32,8154,10619
15.34,8162,10676
15.36,8165,10645
15.38,8202,10640
15.4,8103,10666
15.42,8170,10644
15.44,8186,10679
15.46,8135,10624
15.48,8206,10733
15.5,8182,10701
15.52,8134,10625
15.54,8197,10691
15.56,8177,10694
15.58,8167,10603
15.6,8224,10659
15.62,8184,10688
15.64,8213,10607
15.66,8176,10698
15.68,8178,10626
15.7,8204,10641
15.72,8172,10674
15.74,8226,10639
15.76,8197,10645
15.78,8149,10666
15.8,8185,10603
15.82,8227,10708
15.84,8174,10639
15.86,8222,10668
15.88,8148,10693
15.9,8169,10644
15.92,8231,10610
15.94,8159,10707
15.96,8177,10682
15.98,8144,10625
16,8214,10681
16.02,8183,10622
16.04,8170,10574
16.06,8175,10705
16.08,8222,10635
16.1,8166,10683
16.12,8185,10639
16.14,8201,10592
16.16,8207,10676
16.18,8206,10603
16.2,8224,10609
16.22,8186,10628
16.24,8189,10695
16.26,8214,10658
16.28,8161,10650
16.3,8183,10621
16.32,8209,10627
16.34,8187,10676
16.36,8158,10599
16.38,8197,10631
16.4,8146,10626
16.42,8159,10650
16.44,8180,10585
16.46,8214,10607
16.48,8187,10694
16.5,8175,10612
16.52,8220,10621
16.54,8235,10675
16.56,8202,108275
16.58,8212,10709
16.6,8143,10642
16.62,8256,10707
16.64,8185,10653
16.66,8234,10635
16.68,8226,10720
16.7,8179,10648
16.72,8165,10648
16.74,8233,10658
16.76,8181,10693
16.78,8177,10634
16.8,8225,10659
16.82,8213,10686
16.84,8228,10620
16.86,8206,10680
16.88,8177,10633
16.9,8235,10623
16.92,8138,10643
16.94,8219,10653
16.96,8152,10674
16.98,8190,10657
17,8237,10659
17.02,8181,10686
17.04,8218,10713
17.06,8201,10707
17.08,8153,10666
17.1,8230,10719
17.12,8202,10737
17.14,8193,10692
17.16,8241,10708
17.18,8196,10703
17.2,8167,10623
17.22,8155,10713
17.24,8187,10643
17.26,8216,10702
17.28,8187,10617
17.3,8246,10719
17.32,8185,10660
17.34,8219,10694
17.36,8149,10653
17.38,8217,10701
17.4,8195,10700
17.42,8216,10690
17.44,8191,10696
17.46,8221,10672
17.48,8203,10675
17.5,8171,10654
17.52,8242,10674
17.54,8187,10712
17.56,8154,10646
17.58,8180,10638
17.6,8234,10709
17.62,8195,10704
17.64,8133,10683
17.66,8207,10665
17.68,8229,10708
17.7,8151,10673
17.72,8204,10655
17.74,8194,10608
17.76,8234,10694
17.78,8213,10662
17.8,8218,10669
17.82,8172,10680
17.84,8156,10659
17.86,8220,10676
17.88,8221,10673
17.9,8220,10691
17.92,8123,10690
17.94,8156,10676
17.96,8208,10737
17.98,8163,10657
18,8238,10623
18.02,8159,10654
18.04,8228,10636
18.06,8175,10709
18.08,8173,10620
18.1,8172,10620
18.12,8213,10658
18.14,8157,10639
18.16,8234,10682
18.18,8194,10688
18.2,8161,10697
18.22,8177,10647
18.24,8216,10663
18.26,8180,10708
18.28,8139,10652
18.3,8225,10650
18.32,8158,10698
18.34,8157,10691
18.36,8175,10703
18.38,8181,10668
18.4,8211,10680
18.42,8208,10679
18.44,8147,10681
18.46,8188,10645
18.48,8173,10664
18.5,8141,10647
18.52,8195,10650
18.54,8224,10680
18.56,8160,10678
18.58,8191,10639
18.6,8208,10687
18.62,8141,10626
18.64,8161,10687
18.66,8168,10656
18.68,8191,10641
18.7,8201,10717
18.72,8175,10668
18.74,8147,10646
18.76,8216,10666
18.78,8171,10700
18.8,8225,10688
18.82,8161,10682
18.84,8170,10653
18.86,8222,10598
18.88,8215,10699
18.9,8159,10643
18.92,8166,10634
18.94,8183,10653
18.96,8188,10721
18.98,8188,10646
19,8219,10656
19.02,8154,10695
19.04,8140,10639
19.06,8177,10651
19.08,8206,10664
19.1,8161,10683
19.12,8188,10619
19.14,8232,10696
19.16,8195,10725
19.18,8127,10685
19.2,8229,10674
19.22,8182,10698
19.24,8169,10670
19.26,8161,10710
19.28,8186,10653
19.3,8221,10633
19.32,8200,10682
19.34,8197,10646
19.36,8223,10668
19.38,8167,10708
19.4,8191,10699
19.42,8139,10648
19.44,8219,10653
19.46,8134,10654
19.48,8189,10698
19.5,8189,10700
19.52,8149,10621
19.54,8193,10690
19.56,8225,10702
19.58,8149,10687
19.6,8160,10672
19.62,8171,10647
19.64,8185,10620
19.66,8156,10625
19.68,8205,10651
19.7,8193,10666
19.72,8192,10683
19.74,8140,10665
19.76,8236,10611
19.78,8124,10649
19.8,8200,10625
19.82,8220,10635
19.84,8169,10701
19.86,8193,10617
19.88,8213,10664
19.9,8151,10654
19.92,8189,10640
19.94,8206,10692
19.96,8220,10643
19.98,8193,10718
20,8200,10651
20.02,8216,10625
20.04,8203,10662
20.06,8120,10606
20.08,8238,10677
20.1,8153,10629
20.12,8201,10647
20.14,8133,10657
20.16,8167,10640
20.18,8125,10609
20.2,8203,10681
20.22,8141,10661
20.24,8147,10630
20.26,8218,10643
20.28,8158,10671
20.3,8158,10645
20.32,8190,10638
20.34,8173,10609
20.36,8213,10691
20.38,8189,10698
20.4,8124,10652
