X,Y,Z,IR,RED,HeartRate,RespirationRate,SPO2,Activity,HR Mean,RR Mean,SPO2 Mean
0.52,0,0.86,8181,10693,150,,94.84397991,2,,,
0.56,-0.01,0.82,8177,10634,111.1111111,,94.89880655,2,,,
0.52,-0.03,0.88,8225,10659,150,,94.80755008,2,,,
0.54,-0.06,0.85,8213,10686,111.1111111,,99.22989252,2,,,
0.55,-0.03,0.89,8228,10620,142.8571429,,99.92690279,2,,,
0.56,-0.03,0.85,8206,10680,125,,94.12894177,2,,,
0.52,0,0.86,8177,10633,120,,99.95524515,2,,,
0.56,0,0.89,8235,10623,176.4705882,,94.85027995,2,,,
0.52,0.03,0.89,8138,10643,166.6666667,,94.84397991,2,,,
0.49,0,0.84,8219,10653,157.8947368,,94.89880655,2,,,
0.52,0,0.84,8152,10674,166.6666667,,94.80755008,2,,,
0.51,0.01,0.84,8190,10657,333.3333333,,99.2298925,2,,,
0.52,0,0.88,8237,10659,157.8947368,,99.92690279,2,,,
0.56,-0.01,0.86,8181,10686,150,,94.12894176,2,,,
0.55,0.05,0.89,8218,10713,111.1111111,,99.95524495,2,,,
0.51,-0.03,0.88,8201,10707,150,,94.86271599,2,,,
0.55,0.01,0.85,8153,10666,111.1111111,,94.89557289,2,,,
0.55,-0.01,0.84,8230,10719,142.8571429,,95.5120473,2,,,
0.54,-0.04,0.82,8202,10737,125,,94.89969428,2,,,
0.51,0.01,0.84,8193,10692,120,,95.61425198,2,,,
0.55,-0.04,0.82,8241,10708,176.4705882,,97.22762974,2,,,
0.52,-0.01,0.88,8196,10703,166.6666667,,97.26489542,2,,,
0.54,0.01,0.9,8167,10623,157.8947368,,97.38259592,2,,,
0.54,0.03,0.86,8155,10713,166.6666667,,96.87355769,2,,,
0.5,0,0.81,8187,10643,333.3333333,,96.65033802,2,,,
0.55,0,0.9,8216,10702,157.8947368,,98.40642499,2,,,
0.54,-0.04,0.89,8187,10617,150,,85.69671394,2,,,
0.54,-0.04,0.86,8246,10719,111.1111111,,99.90921077,2,,,
0.52,-0.01,0.89,8185,10660,150,,96.38814169,2,,,
