time(second),IR,RED
11.38,8584,10565
11.4,8621,10550
11.42,8569,10548
11.44,8592,10545
11.46,8552,10556
11.48,8589,10531
11.5,8636,10579
11.52,8619,10626
11.54,8558,10612
11.56,8616,10607
11.58,8654,10570
11.6,8567,10608
11.62,8593,10590
11.64,8662,10652
11.66,8588,10557
11.68,8637,10614
11.7,8578,10599
11.72,8599,10577
11.74,8591,10651
11.76,8591,10629
11.78,8640,10603
11.8,8579,10640
11.82,8589,10604
11.84,8665,10609
11.86,8570,10610
11.88,8626,10612
11.9,8604,10626
11.92,8551,10564
11.94,8601,10612
11.96,8579,10587
11.98,8606,10596
12,8647,10645
12.02,8601,10613
12.04,8653,10580
12.06,8586,10581
12.08,8633,10611
12.1,8611,10640
12.12,8574,10587
12.14,8627,10597
12.16,8609,10607
12.18,8588,10632
12.2,8613,10542
12.22,8640,10627
12.24,8563,10569
12.26,8566,10556
12.28,8631,10579
12.3,8573,10610
12.32,8572,10584
12.34,8596,10552
12.36,8628,10628
12.38,8610,10572
12.4,8534,10584
12.42,8588,10584
12.44,8584,10603
12.46,8542,10525
12.48,8594,10610
12.5,8568,10557
12.52,8601,10563
12.54,8639,10567
12.56,8574,10605
12.58,8562,10627
12.6,8556,10536
12.62,8617,10535
12.64,8534,10518
12.66,8559,10525
12.68,8611,10550
12.7,8611,10567
12.72,8566,10592
12.74,8542,10593
12.76,8557,10537
12.78,8589,10625
12.8,8552,10543
12.82,8552,10526
12.84,8566,10553
12.86,8606,10508
12.88,8615,10565
12.9,8612,10605
12.92,8566,10548
12.94,8609,10554
12.96,8531,10562
12.98,8572,10593
13,8585,10638
13.02,8582,10617
13.04,8532,10565
13.06,8613,10576
13.08,8577,10626
13.1,8560,10560
13.12,8615,10588
13.14,8546,10602
13.16,8570,10600
13.18,8641,10563
13.2,8609,10515
13.22,8610,10581
13.24,8598,10611
13.26,8564,10602
13.28,8579,10565
13.3,8561,10554
13.32,8630,10625
13.34,8564,10566
13.36,8606,10539
13.38,8572,10584
13.4,8569,10554
13.42,8606,10625
13.44,8598,10580
13.46,8584,10593
13.48,8558,10549
13.5,8580,10588
13.52,8530,10555
13.54,8598,10615
13.56,8546,10542
13.58,8604,10593
13.6,8500,10575
13.62,8558,10557
13.64,8612,10546
13.66,8564,10628
13.68,8550,10547
13.7,8588,10612
13.72,8538,10582
13.74,8536,10562
13.76,8573,10601
13.78,8563,10609
13.8,8557,10530
13.82,8603,10659
13.84,8535,10596
13.86,8535,10534
13.88,8563,10614
13.9,8556,10537
13.92,8607,10562
13.94,8547,10595
13.96,8600,10634
13.98,8538,10589
14,8520,10566
14.02,8581,10557
14.04,8527,10605
14.06,8512,10563
14.08,8591,10566
14.1,8586,10585
14.12,8558,10618
14.14,8507,10559
14.16,8531,10518
14.18,8589,10601
14.2,8561,10625
14.22,8545,10604
14.24,8491,10558
14.26,8547,10561
14.28,8573,10603
14.3,8498,10549
14.32,8546,10612
14.34,8521,10558
14.36,8537,10526
14.38,8555,10602
14.4,8543,10592
14.42,8529,10575
14.44,8470,10559
14.46,8517,10578
14.48,8520,10539
14.5,8567,10576
14.52,8560,10565
14.54,8536,10595
14.56,8525,10580
14.58,8527,10519
14.6,8572,10596
14.62,8525,10613
14.64,8490,10558
14.66,8524,10601
14.68,8572,10587
14.7,8497,10589
14.72,8521,10546
14.74,8562,10545
14.76,8533,10643
14.78,8509,10548
14.8,8523,10583
14.82,8530,10560
14.84,8580,10569
14.86,8493,10574
14.88,8516,10555
14.9,8520,10624
14.92,8533,10560
14.94,8539,10608
14.96,8559,10566
14.98,8519,10596
15,8557,10628
15.02,8492,10592
15.04,8511,10577
15.06,8586,10601
15.08,8506,10624
15.1,8577,10609
15.12,8527,10602
15.14,8511,10544
15.16,8581,10564
15.18,8524,10655
15.2,8522,10557
15.22,8564,10607
15.24,8570,10620
15.26,8533,10583
15.28,8567,10595
15.3,8521,10550
15.32,8533,10579
15.34,8551,10599
15.36,8521,10607
15.38,8475,10573
15.4,8552,10565
15.42,8559,10538
15.44,8528,10620
15.46,8539,10549
15.48,8530,10575
15.5,8484,10553
15.52,8564,10602
15.54,8497,10569
15.56,8559,10618
15.58,8494,10545
15.6,8541,10598
15.62,8514,10627
15.64,8510,10548
15.66,8541,10602
15.68,8521,10595
15.7,8455,10566
15.72,8491,10644
15.74,8478,10569
15.76,8504,10550
15.78,8546,10570
15.8,8496,10546
15.82,8551,10551
15.84,8517,10602
15.86,8504,10587
15.88,8492,10540
15.9,8478,10614
15.92,8494,10572
15.94,8547,10582
15.96,8517,10612
15.98,8497,10621
16,8533,10602
16.02,8514,10642
16.04,8552,10627
16.06,8464,10606
16.08,8499,10553
16.1,8538,10546
16.12,8513,10598
16.14,8523,10559
16.16,8494,10603
16.18,8506,10624
16.2,8482,10601
16.22,8508,10531
16.24,8501,10595
16.26,8496,10587
16.28,8554,10629
16.3,8497,10565
16.32,8515,10580
16.34,8527,10572
16.36,8536,10607
16.38,8488,10656
16.4,8510,10561
16.42,8543,10664
16.44,8487,10615
16.46,8542,10573
16.48,8494,10582
16.5,8553,10615
16.52,8469,10629
16.54,8474,108501
16.56,8455,10443
16.58,8502,10490
16.6,8556,10484
16.62,8460,10496
16.64,8563,10611
16.66,8584,10565
16.68,8621,10550
16.7,8569,10548
16.72,8592,10545
16.74,8552,10556
16.76,8589,10531
16.78,8636,10579
16.8,8619,10626
16.82,8558,10612
16.84,8616,10607
16.86,8654,10570
16.88,8567,10608
16.9,8593,10590
16.92,8662,10652
16.94,8588,10557
16.96,8637,10614
16.98,8578,10599
17,8599,10577
17.02,8591,10651
17.04,8591,10629
17.06,8640,10603
17.08,8579,10640
17.1,8589,10604
17.12,8665,10609
17.14,8570,10610
17.16,8626,10612
17.18,8604,10626
17.2,8551,10564
17.22,8601,10612
17.24,8579,10587
17.26,8606,10596
17.28,8647,10645
17.3,8601,10613
17.32,8653,10580
17.34,8586,10581
17.36,8633,10611
17.38,8611,10640
17.4,8574,10587
17.42,8627,10597
17.44,8609,10607
17.46,8588,10632
17.48,8613,10542
17.5,8640,10627
17.52,8563,10569
17.54,8566,10556
17.56,8631,10579
17.58,8573,10610
17.6,8572,10584
17.62,8596,10552
17.64,8628,10628
17.66,8610,10572
17.68,8534,10584
17.7,8588,10584
17.72,8584,10603
17.74,8542,10525
17.76,8594,10610
17.78,8568,10557
17.8,8601,10563
17.82,8639,10567
17.84,8574,10605
17.86,8562,10627
17.88,8556,10536
17.9,8617,10535
17.92,8534,10518
17.94,8559,10525
17.96,8611,10550
17.98,8611,10567
18,8566,10592
18.02,8542,10593
18.04,8557,10537
18.06,8589,10625
18.08,8552,10543
18.1,8552,10526
18.12,8566,10553
18.14,8606,10508
18.16,8615,10565
18.18,8612,10605
18.2,8566,10548
18.22,8609,10554
18.24,8531,10562
18.26,8572,10593
18.28,8585,10638
18.3,8582,10617
18.32,8532,10565
18.34,8613,10576
18.36,8577,10626
18.38,8560,10560
18.4,8615,10588
18.42,8546,10602
18.44,8570,10600
18.46,8641,10563
18.48,8609,10515
18.5,8610,10581
18.52,8598,10611
18.54,8564,10602
18.56,8579,10565
18.58,8561,10554
18.6,8630,10625
18.62,8564,10566
18.64,8606,10539
18.66,8572,10584
18.68,8569,10554
18.7,8606,10625
18.72,8598,10580
18.74,8584,10593
18.76,8558,10549
18.78,8580,10588
18.8,8530,10555
18.82,8598,10615
18.84,8546,10542
18.86,8604,10593
18.88,8500,10575
18.9,8558,10557
18.92,8612,10546
18.94,8564,10628
18.96,8550,10547
18.98,8588,10612
19,8538,10582
19.02,8536,10562
19.04,8573,10601
19.06,8563,10609
19.08,8557,10530
19.1,8603,10659
19.12,8535,10596
19.14,8535,10534
19.16,8563,10614
19.18,8556,10537
19.2,8607,10562
19.22,8547,10595
19.24,8600,10634
19.26,8538,10589
19.28,8520,10566
19.3,8581,10557
19.32,8527,10605
19.34,8512,10563
19.36,8591,10566
19.38,8586,10585
19.4,8558,10618
19.42,8507,10559
19.44,8531,10518
19.46,8589,10601
19.48,8561,10625
19.5,8545,10604
19.52,8491,10558
19.54,8547,10561
19.56,8573,10603
19.58,8498,10549
19.6,8546,10612
19.62,8521,10558
19.64,8537,10526
19.66,8555,10602
19.68,8543,10592
19.7,8529,10575
19.72,8470,10559
19.74,8517,10578
19.76,8520,10539
19.78,8567,10576
19.8,8560,10565
19.82,8536,10595
19.84,8525,10580
19.86,8527,10519
19.88,8572,10596
19.9,8525,10613
19.92,8490,10558
19.94,8524,10601
19.96,8572,10587
19.98,8497,10589
20,8521,10546
20.02,8562,10545
20.04,8533,10643
20.06,8509,10548
20.08,8523,10583
20.1,8530,10560
20.12,8580,10569
20.14,8493,10574
20.16,8516,10555
20.18,8520,10624
20.2,8533,10560
20.22,8539,10608
20.24,8559,10566
20.26,8519,10596
20.28,8557,10628
20.3,8492,10592
20.32,8511,10577
20.34,8586,10601
20.36,8506,10624
20.38,8577,10609
20.4,8527,10602
20.42,8511,10544
20.44,8581,10564
20.46,8524,10655
20.48,8522,10557
20.5,8564,10607
20.52,8570,10620
20.54,8533,10583
20.56,8567,10595
20.58,8521,10550
20.6,8533,10579
20.62,8551,10599
20.64,8521,10607
20.66,8475,10573
20.68,8552,10565
20.7,8559,10538
20.72,8528,10620
20.74,8539,10549
20.76,8530,10575
20.78,8484,10553
20.8,8564,10602
20.82,8497,10569
20.84,8559,10618
20.86,8494,10545
20.88,8541,10598
20.9,8514,10627
20.92,8510,10548
20.94,8541,10602
20.96,8521,10595
20.98,8455,10566
21,8491,10644
21.02,8478,10569
21.04,8504,10550
21.06,8546,10570
21.08,8496,10546
21.1,8551,10551
21.12,8517,10602
21.14,8504,10587
21.16,8492,10540
21.18,8478,10614
21.2,8494,10572
21.22,8547,10582
21.24,8517,10612
21.26,8497,10621
21.28,8533,10602
21.3,8514,10642
21.32,8552,10627
21.34,8464,10606
21.36,8499,10553
21.38,8538,10546
21.4,8513,10598
21.42,8523,10559
21.44,8494,10603
21.46,8506,10624
21.48,8482,10601
21.5,8508,10531
21.52,8501,10595
21.54,8496,10587
21.56,8554,10629
21.58,8497,10565
