X,Y,Z,IR,RED,HeartRate,RespirationRate,SPO2,Activity,HR Mean,RR Mean,SPO2 Mean
0.11,-0.29,0.74,8563,10614,130.4347826,,98.12437432,1,,,
0.17,-0.34,0.8,8556,10537,111.1111111,,99.8472562,1,,,
0.17,-0.3,0.8,8607,10562,103.4482759,,99.87044932,1,,,
0.16,-0.32,0.91,8547,10595,66.66666667,,94.12763564,1,,,
0.17,-0.32,1.08,8600,10634,68.18181818,,99.08668689,1,,,
0.21,-0.35,1.1,8538,10589,71.42857143,,94.93769625,1,,,
0.2,-0.37,1.11,8520,10566,76.92307692,,95.01744974,1,,,
0.19,-0.26,1.02,8581,10557,200,,95.54691826,1,,,
0.03,-0.22,0.96,8527,10605,130.4347826,,98.12437427,1,,,
-0.03,-0.39,0.77,8512,10563,111.1111111,,99.84725621,1,,,
-0.03,-0.39,0.85,8591,10566,103.4482759,,99.87044932,1,,,
-0.11,-0.29,1,8586,10585,66.66666667,,94.12763561,1,,,
-0.09,-0.2,1.06,8558,10618,69.76744186,,99.08668688,1,,,
0.13,-0.31,1.08,8507,10559,69.76744186,,94.95247881,1,,,
0,-0.35,0.77,8531,10518,76.92307692,,94.93924925,1,,,
0.05,-0.31,0.88,8589,10601,200,,95.93112256,1,,,
0.01,-0.25,0.82,8561,10625,130.4347826,,98.64358813,1,,,
-0.08,-0.22,0.9,8545,10604,111.1111111,,99.40956639,1,,,
0,-0.24,0.99,8491,10558,103.4482759,,96.56309319,1,,,
0.2,-0.21,0.99,8547,10561,68.18181818,,99.93046366,1,,,
0.11,-0.66,1.11,8573,10603,66.66666667,,90.00491194,1,,,
0.19,-0.03,1.11,8498,10549,69.76744186,,99.94810811,1,,,
0.2,-0.24,1.15,8546,10612,75,,99.06920893,1,,,
0.15,-0.24,0.84,8521,10558,73.17073171,,87.93079594,1,,,
-0.05,-0.25,1.05,8537,10526,69.76744186,,99.1194475,1,,,
0,-0.21,0.91,8555,10602,78.94736842,,99.93468666,1,,,
0.13,-0.25,0.93,8543,10592,157.8947368,,90.00784736,1,,,
0.11,-0.34,0.81,8529,10575,111.1111111,,99.94835265,1,,,
0.17,-0.22,0.84,8470,10559,85.71428571,,99.08584366,1,,,
0.21,-0.28,0.96,8517,10578,130.4347826,,99.89004919,1,,,
0.2,-0.29,0.93,8520,10539,125,,98.98837484,1,,,
0.17,-0.32,1.05,8567,10576,103.4482759,,94.88962307,1,,,
0.16,-0.34,1.02,8560,10565,88.23529412,,96.06880558,1,,,
0.05,-0.4,1.09,8536,10595,130.4347826,,99.35009739,1,,,
0.11,-0.24,1.08,8525,10580,111.1111111,,99.63361094,1,,,
-0.03,-0.35,1.02,8527,10519,103.4482759,,99.06394153,1,,,
0.01,-0.28,0.95,8572,10596,68.18181818,,99.88989014,1,,,
0.01,-0.31,0.85,8525,10613,66.66666667,,98.98826684,1,,,
-0.17,-0.26,0.88,8490,10558,71.42857143,,94.88962307,1,,,
