X,Y,Z,IR,RED,Heart Rate,Respiration Rate,SpO2
0.08,-0.17,1.01,262143,262143,120,,80.139
0.06,-0.16,1.05,262143,262143,75,,80.139
0.05,-0.17,1.1,262143,262143,63.82978723,,80.139
0.05,-0.16,1.06,262143,262143,44.7761194,,80.139
0.01,-0.19,1.1,262143,262143,68.18181818,,80.139
0.04,-0.17,1.08,262143,262143,41.66666667,,80.139
0.05,-0.14,1.04,262143,262143,37.03703704,,80.139
0.04,-0.17,1.06,262143,262143,42.85714286,,80.139
0,-0.17,1.04,262143,262143,111.1111111,,80.139
0.06,-0.16,1.04,262143,262143,42.85714286,,80.139
0.06,-0.19,1.04,262143,262143,37.97468354,,80.139
0.04,-0.17,1.04,262143,262143,50.84745763,,80.139
0.01,-0.17,1.05,262143,262143,41.09589041,,80.139
0.05,-0.17,1.06,262143,262143,40.54054054,,80.139
0.05,-0.16,1.06,262143,262143,31.57894737,,80.139
0.04,-0.19,1.01,262143,262143,54.54545455,,80.139
0.03,-0.17,1.06,262143,262143,73.17073171,,80.139
0.05,-0.14,1.04,262143,262143,56.60377358,,80.139
0.04,-0.16,1.09,262143,262143,96.77419355,,80.139
-0.04,-0.19,1.08,262143,262143,58.82352941,,80.139
0,-0.17,1.08,262143,262143,,,80.139
0.06,-0.15,1.04,262143,262143,,,80.139
0.04,-0.17,1.08,262143,262143,,,80.139
0.09,-0.19,1.08,262143,262143,,,80.139
0.06,-0.19,1.01,262143,262143,,,80.139
0.04,-0.19,1.04,262143,262143,,,80.139
0.03,-0.15,1.08,262143,262143,,,80.139
0.05,-0.17,1.08,262143,262143,,,80.139
0.05,-0.17,1.06,262143,262143,,,80.139
0.04,-0.19,1.08,262143,262143,,,80.139
0.04,-0.17,1.05,262143,262143,,,80.139
0.04,-0.13,1.04,262143,262143,,,80.139
0.06,-0.19,1.06,262143,262143,,,80.139
0.03,-0.16,1.05,262143,262143,,,80.139
0.05,-0.17,1.05,262143,262143,,,80.139
0.04,-0.16,1.06,262143,262143,,,80.139
0.04,-0.16,1.08,262143,262143,,,80.139
0.06,-0.17,1.11,262143,262143,,,80.139
0.03,-0.19,1.04,262143,262143,,,80.139
0.04,-0.16,1.05,262143,262143,,,80.139
0.04,-0.17,1.05,262143,262143,,,80.139
0.04,-0.16,1.05,262143,262143,,,80.139
0.05,-0.17,1.08,262143,262143,,,80.139
0.03,-0.17,1.06,262143,262143,,,80.139
0.03,-0.16,1.01,262143,262143,,,80.139
0.04,-0.17,1.05,262143,262143,,,80.139
0.08,-0.19,1.06,262143,262143,,,80.139
0.04,-0.15,1.11,262143,262143,,,80.139
0.04,-0.16,1.02,262143,262143,,,80.139
0.03,-0.16,1.08,262143,262143,,,80.139
0.05,-0.17,1.02,262143,262143,,,80.139
0.04,-0.16,1,262143,262143,,,80.139
0.05,-0.17,1.01,262143,262143,,,80.139
0.05,-0.19,1.02,262143,262143,,,80.139
0.03,-0.17,1.06,262143,262143,,,80.139
0.06,-0.15,1.05,262143,262143,,,80.139
0.04,-0.17,1.05,262143,262143,,,80.139
0.06,-0.16,1.09,262143,262143,,,80.139
0.05,-0.16,1.04,262143,262143,,,80.139
0.05,-0.16,1.09,262143,262143,,,80.139
0.04,-0.19,1.08,262143,262143,,,80.139
0.04,-0.17,1.05,262143,262143,,,80.139
0.04,-0.17,1.06,262143,262143,,,80.139
0.03,-0.15,1.01,262143,262143,,,80.139
0.06,-0.19,1.08,262143,262143,,,80.139
0.06,-0.17,1.04,262143,262143,,,80.139
0.01,-0.19,1.08,262143,262143,,,80.139
0.03,-0.19,1.08,262143,262143,,,80.139
0.01,-0.16,1.02,262143,262143,,,80.139
0.08,-0.17,1.09,262143,262143,,,80.139
0.03,-0.17,1.04,262143,262143,,,80.139
0,-0.17,1.08,262143,262143,,,80.139
0.06,-0.15,1.02,262143,262143,,,80.139
0.04,-0.17,1.06,262143,262143,,,80.139
0.04,-0.15,1.08,262143,262143,,,80.139
0.04,-0.17,1.02,262143,262143,,,80.139
0.01,-0.17,1.02,262143,262143,,,80.139
0.05,-0.17,1.04,262143,262143,,,80.139
0.04,-0.19,1.02,262143,262143,,,80.139
0.03,-0.16,1.02,262143,262143,,,80.139
0.01,-0.17,1.06,262143,262143,,,80.139
0.06,-0.19,1.06,262143,262143,,,80.139
0.05,-0.19,1.05,262143,262143,,,80.139
0.03,-0.17,1.08,262143,262143,,,80.139
0,-0.16,1.05,262143,262143,,,80.139
0.03,-0.16,1.11,262143,262143,,,80.139
0.05,-0.17,1.1,262143,262143,,,80.139
0.04,-0.17,1.08,262143,262143,,,80.139
0.03,-0.17,1.04,262143,262143,,,80.139
0.04,-0.16,1.05,262143,262143,,,80.139
0.05,-0.19,1.08,262143,262143,,,80.139
0.06,-0.17,1.06,262143,262143,,,80.139
0.08,-0.19,1.06,262143,262143,,,80.139
0.05,-0.17,1.06,262143,262143,,,80.139
0.05,-0.16,1.09,262143,262143,,,80.139
0.06,-0.16,1.09,262143,262143,,,80.139
0.03,-0.17,1.05,262143,262143,,,80.139
0.08,-0.16,1.05,262143,262143,,,80.139
0.08,-0.14,1.05,262143,262143,,,80.139
0.04,-0.16,1.02,262143,262143,,,80.139
0.09,-0.17,1.01,262143,262143,,,80.139
0.06,-0.16,1.08,262143,262143,,,80.139
0.05,-0.19,1.04,262143,262143,,,80.139
0.04,-0.17,1.04,262143,262143,,,80.139
0.04,-0.16,1.08,262143,262143,,,80.139
0.06,-0.19,1.09,262143,262143,,,80.139
0.04,-0.17,1.05,262143,262143,,,80.139
0.08,-0.17,1.08,262143,262143,,,80.139
0.05,-0.17,1.05,262143,262143,,,80.139
0.03,-0.16,1.05,262143,262143,,,80.139
0.05,-0.17,1.08,262143,262143,,,80.139
0.06,-0.16,1.05,262143,262143,,,80.139
0.03,-0.17,1.02,262143,262143,,,80.139
0.01,-0.17,1.02,262143,262143,,,80.139
0.08,-0.15,1.08,262143,262143,,,80.139
0.04,-0.19,1.06,262143,262143,,,80.139
0.06,-0.19,1.06,262143,262143,,,80.139
0.04,-0.16,1.11,262143,262143,,,80.139
0.05,-0.16,1,262143,262143,,,80.139
0.04,-0.16,1.05,262143,262143,,,80.139
0.01,-0.17,1.04,262143,262143,,,80.139
0,-0.16,1.02,262143,262143,,,80.139
0.05,-0.17,1.08,262143,262143,,,80.139
0.04,-0.17,1.02,262143,262143,,,80.139
0.05,-0.15,1.05,262143,262143,,,80.139
0.08,-0.19,1.06,262143,262143,,,80.139
0.05,-0.16,1.08,262143,262143,,,80.139
0.1,-0.17,1.02,262143,262143,,,80.139
0.05,-0.17,1.09,262143,262143,,,80.139
0.03,-0.15,1.02,262143,262143,,,80.139
0.04,-0.15,1.05,262143,262143,,,80.139
0.03,-0.19,1.05,262143,262143,,,80.139
0.01,-0.19,1.02,262143,262143,,,80.139
0.04,-0.16,1.05,262143,262143,,,80.139
0.05,-0.17,1.01,262143,262143,,,80.139
0.08,-0.16,1.06,262143,262143,,,80.139
0.06,-0.17,1.05,262143,262143,,,80.139
0.06,-0.16,1.09,262143,262143,,,80.139
0.04,-0.17,1,262143,262143,,,80.139
0.01,-0.17,1.05,262143,262143,,,80.139
0.04,-0.16,1.06,262143,262143,,,80.139
0.03,-0.19,1.05,262143,262143,,,80.139
0.05,-0.16,1.06,262143,262143,,,80.139
0.05,-0.16,1.08,262143,262143,,,80.139
0.03,-0.17,1.04,262143,262143,,,80.139
0.01,-0.17,1.04,262143,262143,,,80.139
0.03,-0.19,0.99,262143,262143,,,80.139
0.04,-0.17,1.08,262143,262143,,,80.139
0.04,-0.19,1.06,262143,262143,,,80.139
0.06,-0.17,1.05,262143,262143,,,80.139
0.05,-0.16,1.08,262143,262143,,,80.139
0.06,-0.17,1.06,262143,262143,,,80.139
0.05,-0.16,1.02,262143,262143,,,80.139
0.08,-0.16,1.08,262143,262143,,,80.139
0.04,-0.19,1.05,262143,262143,,,80.139
0.06,-0.19,1.08,262143,262143,,,80.139
0.03,-0.16,1.04,262143,262143,,,80.139
